radius_A,strain_mean,strain_std,strain_count,radius_A_mean,radius_A_std,radius_A_count,n_atoms_mean,n_atoms_std,n_atoms_count,n_omega_mean,n_omega_std,n_omega_count,E_omega_cumulative_center_mean_mean,E_omega_cumulative_center_mean_std,E_omega_cumulative_center_mean_count,E_omega_cumulative_center_std_mean,E_omega_cumulative_center_std_std,E_omega_cumulative_center_std_count,E_omega_cumulative_pooled_mean_mean,E_omega_cumulative_pooled_mean_std,E_omega_cumulative_pooled_mean_count,E_omega_shell_center_mean_mean,E_omega_shell_center_mean_std,E_omega_shell_center_mean_count,E_omega_shell_center_std_mean,E_omega_shell_center_std_std,E_omega_shell_center_std_count,E_omega_shell_pooled_mean_mean,E_omega_shell_pooled_mean_std,E_omega_shell_pooled_mean_count,omega_mean_cumulative_neighbor_count_mean,omega_mean_cumulative_neighbor_count_std,omega_mean_cumulative_neighbor_count_count,omega_mean_shell_neighbor_count_mean,omega_mean_shell_neighbor_count_std,omega_mean_shell_neighbor_count_count,E_random_cumulative_center_mean_mean,E_random_cumulative_center_mean_std,E_random_cumulative_center_mean_count,E_random_cumulative_pooled_mean_mean,E_random_cumulative_pooled_mean_std,E_random_cumulative_pooled_mean_count,E_random_shell_center_mean_mean,E_random_shell_center_mean_std,E_random_shell_center_mean_count,E_random_shell_pooled_mean_mean,E_random_shell_pooled_mean_std,E_random_shell_pooled_mean_count,random_mean_cumulative_neighbor_count_mean,random_mean_cumulative_neighbor_count_std,random_mean_cumulative_neighbor_count_count,random_mean_shell_neighbor_count_mean,random_mean_shell_neighbor_count_std,random_mean_shell_neighbor_count_count,DeltaE_cumulative_vs_random_mean,DeltaE_cumulative_vs_random_std,DeltaE_cumulative_vs_random_count,DeltaE_shell_vs_random_mean,DeltaE_shell_vs_random_std,DeltaE_shell_vs_random_count
2.0,,,0,2.0,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.011872743359408978,0.0009078577458681256,6,0.11204829664697498,0.0009532792161473201,6,0.011872743359408978,0.0009078577458681256,6,0.011872743359408978,0.0009078577458681256,6,0.11204829664697498,0.0009532792161473201,6,0.011872743359408978,0.0009078577458681256,6,1.0,0.0,6,1.0,0.0,6,0.004219892266646042,0.0005788705619206319,6,0.004219892266646042,0.0005788705619206319,6,0.004219892266646042,0.0005788705619206319,6,0.004219892266646042,0.0005788705619206319,6,1.0,0.0,6,1.0,0.0,6,0.007652851092762935,0.0014720367900128985,6,0.007652851092762935,0.0014720367900128985,6
2.5,,,0,2.5,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.011846933835511378,0.0008939002266909917,6,0.11137400879849524,0.0009535332591162599,6,0.015169470621307602,0.0009430770538277352,6,0.17205421226418657,0.002751231341220077,6,0.1335769817845486,0.005030464015520919,6,0.17306890279712336,0.0028830571388744845,6,1.020878008936841,0.0008686068900604452,6,0.020878008936841077,0.0008686068900604667,6,0.004197222867344109,0.0005775633329641838,6,0.005284987061967006,0.0006152364951943768,6,0.18654364658522196,0.002704420841347688,6,0.18808913359974855,0.0031503056554787493,6,1.0058303435712412,0.0003978428285230537,6,0.005830343571241112,0.0003978428285231185,6,0.007649710968167268,0.001458400615193615,6,-0.01448943432103541,0.0043193048368777775,6
3.0,,,0,3.0,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.006968898798622881,0.00026420143080730307,6,0.03452784588068233,0.00012989546628989771,6,0.006649297741127915,0.00025012726516439164,6,0.00659860530380094,0.0002486159810207439,6,0.03661264015014452,9.953390758692881e-05,6,0.005523405953934267,0.00023677862460636128,6,8.74603300813613,0.010130732021447738,6,7.72515499919929,0.010214268643270618,6,0.00566480483382469,0.0004408636287606253,6,0.005356396888549636,0.0004789359744575029,6,0.0061839583691928905,0.0004196660666806445,6,0.005365849466843052,0.00046266856661735954,6,8.58728266792466,0.01648623508490776,6,7.581452324353418,0.016841771159785558,6,0.0013040939647981904,0.0005265577259534168,6,0.00041464693460804993,0.0004130235523974314,6
3.5,,,0,3.5,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.0005142936685739729,0.0004098901018954466,6,0.028519885158350775,0.00021093909756416608,6,0.0011617422745377021,0.0003969268577423808,6,-0.019945374841132835,0.0013792913127932468,6,0.06233788240701371,0.0009146159296488979,6,-0.010443476421121388,0.0009526860733942525,6,12.882810392978685,0.019230426073950285,6,4.1367773848425555,0.02746202118069069,6,0.002148391436067978,0.00044823888669830446,6,0.0021311064003938954,0.0004336594282016782,6,-0.0036347987498654183,0.0004478348737045472,6,-0.0035599805918871768,0.0003813136229721166,6,13.453762402531423,0.002436606322455568,6,4.866479734606762,0.016650170074617998,6,-0.0016340977674940054,0.00038553361603843903,6,-0.016310576091267414,0.0009850424079478849,6
4.0,,,0,4.0,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.0054532914887316835,0.00026536518694790924,6,0.02492884113072061,0.00013428672974696135,6,0.0054654082480878685,0.0002773909242240042,6,0.028727577261498615,0.00016749399561116635,6,0.07218113460858316,0.0004341033769234053,6,0.029041143127950992,0.00036376761988980916,6,15.234017014390297,0.008348712466969884,6,2.351206621411611,0.024942949986665797,6,0.003183695531146164,0.0004395838431713429,6,0.0032251983918642944,0.0004379130368282939,6,0.012850158335121114,0.0004845114929012728,6,0.012853092546962786,0.0005181663800568369,6,14.982610596880614,0.002940938482948293,6,1.5288481943491918,0.0025037558063646173,6,0.0022695959575855197,0.0004156529101786349,6,0.015877418926377496,0.0006154573277843928,6
4.5,,,0,4.5,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.007634427668560997,0.00025773401817002063,6,0.023374222936306952,0.00012430826795054793,6,0.007678795502147953,0.0002585611885550802,6,0.01625652853752341,0.00037110493526431654,6,0.06635142757132222,0.0004868400613718958,6,0.018602738208254962,0.00027801763220001427,6,18.320640385858393,0.012138289573693395,6,3.086623371468096,0.012818422844819212,6,0.003651865113009268,0.00042147589671502996,6,0.003836540055676183,0.0004340986074752933,6,0.00477923988511923,0.00028971390839405354,6,0.006819819552836631,0.0004225527232975922,6,18.052894872066442,0.0035790620886750396,6,3.0702842751858292,0.0027243536847887002,6,0.003982562555551728,0.0004397408205715159,6,0.01147728865240418,0.00048272681702791066,6
5.0,,,0,5.0,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.008529988096434044,0.00028898798782410956,6,0.020305372569894644,0.00015994998893974812,6,0.008683497486027066,0.00028258408812371314,6,0.010705077128767409,0.0004391910742060806,6,0.03755952301551191,0.000377530272391866,6,0.010843873680141456,0.0004099233896299131,6,26.844667249980233,0.047498126568116465,6,8.524026864121842,0.05621604311696692,6,0.005234156923988607,0.0004074358798067136,6,0.0053511244104785345,0.0004197600299864411,6,0.008987066428667374,0.000396846012835827,6,0.00851330144264259,0.00039153900158480086,6,26.699922579412643,0.02128304487848055,6,8.647027707346199,0.02326461826637643,6,0.003295831172445437,0.0005090270352139272,6,0.0017180107001000344,0.0006962797062573566,6
5.5,,,0,5.5,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.007176489049622051,0.0002724062679287482,6,0.017709473198917806,0.00018465865034238553,6,0.007162311084643058,0.000280736165982053,6,0.0050145809782898764,0.0002981756950526494,6,0.027906647152950922,0.00010617498650035165,6,0.004588845928031422,0.0003163622113602222,6,42.709316837371155,0.05585219058668751,6,15.864649587390922,0.1016744177544306,6,0.004443516337525437,0.0003970601365559325,6,0.0044518325206871975,0.00040119273613077,6,0.0031464306793583256,0.00037159528976263696,6,0.0029505795637282703,0.000365002075638513,6,42.69555674716827,0.04694730004085044,6,15.995634167755624,0.06525542363420662,6,0.0027329727120966128,0.00044320651230068476,6,0.001868150298931551,0.0003763187423931204,6
6.0,,,0,6.0,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.008335203553432506,0.0002439481919651361,6,0.015691814592122696,0.00020342100998604345,6,0.008213537007058657,0.0002484600435792525,6,0.01205450864089664,0.00020863776696149007,6,0.029876834415532433,0.00026336057105890966,6,0.01158406976847892,0.00019875097428239468,6,56.03228435446584,0.04098998602711404,6,13.32296751709468,0.07247059579498359,6,0.004179481634023037,0.00041943692975491875,6,0.004012694320347524,0.0004071008435757781,6,0.0033415333900724473,0.0004621183535425091,6,0.0027055238811534484,0.00042539961903900704,6,57.039024007957096,0.0603521295073465,6,14.34346726078884,0.01616148777829055,6,0.004155721919409469,0.0004601549104263527,6,0.008712975250824193,0.0006031263716757063,6
6.5,,,0,6.5,0.0,6,432000.0,0.0,6,45310.0,1861.4761884053203,6,0.009616070678913175,0.0002204913614979366,6,0.015018381413172846,0.00018833731203684673,6,0.009722666234331765,0.00021899870691922122,6,0.02318201050609861,0.00038954109135121395,6,0.0485005359917647,0.0003549692995473986,6,0.02294565994786041,0.00042678541018194516,6,62.42901111361031,0.05369686677407688,6,6.396726759144481,0.059455462071216415,6,0.0045671173741188105,0.00042732295060907073,6,0.004684294266436907,0.0004386810997367062,6,0.009228755138474334,0.00047732693878847044,6,0.012685325391276004,0.0006086033118324725,6,61.82543094976662,0.08862733735920628,6,4.786406941809508,0.14783098376978332,6,0.005048953304794366,0.00048789942501890605,6,0.013953255367624278,0.0008179799844328897,6
