frame,strain,analysis_variant,mode,center_kind,target_kind,r_lower_A,r_upper_A,r_mid_A,N_total,N_center,N_target,rho_target_1_per_A3,pair_count_shell,pair_count_cumulative,CN_sum_r,P_sum_r,g_r_RDF_like
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.0,0.5,0.25,432000,10910,47870,0.006189146553905006,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.5,1.0,0.75,432000,10910,47870,0.006189146553905006,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.0,1.5,1.25,432000,10910,47870,0.006189146553905006,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.5,2.0,1.75,432000,10910,47870,0.006189146553905006,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.0,2.5,2.25,432000,10910,47870,0.006189146553905006,52,52,0.004766269477543538,0.0,0.024111230184218263
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.5,3.0,2.75,432000,10910,47870,0.006189146553905006,32134,32186,2.9501374885426213,0.43510540788267643,9.987786668453055
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.0,3.5,3.25,432000,10910,47870,0.006189146553905006,27257,59443,5.448487626031164,0.961961503208066,6.070440319352737
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.5,4.0,3.75,432000,10910,47870,0.006189146553905006,1930,61373,5.625389550870761,0.965627864344638,0.323010369775605
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.0,4.5,4.25,432000,10910,47870,0.006189146553905006,5780,67153,6.155178735105408,0.9685609532538955,0.7533797889358097
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.5,5.0,4.75,432000,10910,47870,0.006189146553905006,30765,97918,8.975068744271312,0.9767186067827681,3.210949602161934
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.0,5.5,5.25,432000,10910,47870,0.006189146553905006,52223,150141,13.761778185151238,0.9854262144821265,4.4625149435589275
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.5,6.0,5.75,432000,10910,47870,0.006189146553905006,34416,184557,16.916315307057744,0.9893675527039414,2.4519733568699578
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.0,6.5,6.25,432000,10910,47870,0.006189146553905006,11190,195747,17.94197983501375,0.9910174152153988,0.6748435546762976
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.5,7.0,6.75,432000,10910,47870,0.006189146553905006,15107,210854,19.326672777268563,0.9925756186984418,0.7811541842909614
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.0,7.5,7.25,432000,10910,47870,0.006189146553905006,75198,286052,26.219248395967004,0.9949587534372135,3.3707208804999254
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.5,8.0,7.75,432000,10910,47870,0.006189146553905006,51216,337268,30.913657195233732,0.9962419798350137,2.009168000427032
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.0,8.5,8.25,432000,10910,47870,0.006189146553905006,52223,389491,35.70036663611366,0.9970669110907424,1.8079466907197121
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.5,9.0,8.75,432000,10910,47870,0.006189146553905006,29443,418934,38.39908340971586,0.9973418881759853,0.9061756919969498
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.0,9.5,9.25,432000,10910,47870,0.006189146553905006,40550,459484,42.11585701191567,0.9976168652612283,1.116776522773071
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.5,10.0,9.75,432000,10910,47870,0.006189146553905006,95807,555291,50.8974335472044,0.9980751604032997,2.374966332600003
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.0,0.5,0.25,432000,47870,10910,0.0014105617067704953,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.5,1.0,0.75,432000,47870,10910,0.0014105617067704953,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.0,1.5,1.25,432000,47870,10910,0.0014105617067704953,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.5,2.0,1.75,432000,47870,10910,0.0014105617067704953,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.0,2.5,2.25,432000,47870,10910,0.0014105617067704953,52,52,0.0010862753290160853,0.0,0.024111230184218263
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.5,3.0,2.75,432000,47870,10910,0.0014105617067704953,32134,32186,0.67236264884061,0.1141424691873825,9.987786668453055
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.0,3.5,3.25,432000,47870,10910,0.0014105617067704953,27257,59443,1.241758930436599,0.6332567369960309,6.070440319352737
