frame,strain,N_total,N_omega,N_twin,N_overlap,N_omega_only,N_twin_only,f_overlap_in_omega,f_overlap_in_twin,f_overlap_in_total
35,,432000,10910,47870,9984,926,37886,0.9151237396883593,0.20856486317108835,0.02311111111111111
36,,432000,11082,48279,10180,902,38099,0.9186067496841726,0.21085772281944531,0.023564814814814816
37,,432000,11010,47952,9998,1012,37954,0.9080835603996367,0.20850016683350017,0.023143518518518518
38,,432000,11014,47371,9924,1090,37447,0.9010350463047031,0.20949526081357792,0.022972222222222224
39,,432000,11325,46655,10143,1182,36512,0.8956291390728477,0.21740435108777195,0.023479166666666666
40,,432000,11173,45655,9985,1188,35670,0.8936722455920523,0.21870550870660388,0.023113425925925926
