case,n_atoms,n_omega_ever,n_twin_ever,n_both_omega_and_twin,fraction_omega_ever,fraction_twin_ever,fraction_both_given_omega,fraction_both_given_twin,fraction_omega_before_twin_given_both,fraction_twin_before_omega_given_both,fraction_simultaneous_given_both,precursor_window_frames,fraction_twin_within_window_after_omega_given_omega,fraction_omega_competition_like_given_omega,mean_delta_frame_twin_minus_omega_for_both,median_delta_frame_twin_minus_omega_for_both
Ti20Nb,432000,230408,214892,172844,0.5333518518518519,0.4974351851851852,0.750164924828999,0.8043296167377101,0.27591932609752146,0.1574599060424429,0.5666207678600357,5,0.07277959098642409,0.9272204090135759,4.453397283099211,0.0
Ti30Nb,432000,118588,160518,90571,0.2745092592592593,0.37156944444444445,0.763745066954498,0.5642420164716729,0.2086539841671175,0.3790396484525952,0.4123063673802873,5,0.05702937902654569,0.9429706209734543,2.406001921144737,0.0
Ti40Nb,432000,92838,188588,91076,0.21490277777777778,0.4365462962962963,0.9810207027294857,0.4829363480179015,0.02065308094338794,0.5952062014142036,0.38414071764240854,5,0.0161356341153407,0.9838643658846593,-2.577517677544029,-1.0
