frame,strain,radius_A,n_atoms,n_omega,E_omega_cumulative_center_mean,E_omega_cumulative_center_std,E_omega_cumulative_pooled_mean,E_omega_shell_center_mean,E_omega_shell_center_std,E_omega_shell_pooled_mean,omega_mean_cumulative_neighbor_count,omega_mean_shell_neighbor_count,E_random_cumulative_center_mean,E_random_cumulative_pooled_mean,E_random_shell_center_mean,E_random_shell_pooled_mean,random_mean_cumulative_neighbor_count,random_mean_shell_neighbor_count,DeltaE_cumulative_vs_random,DeltaE_shell_vs_random
35,,2.0,432000,10910,0.042424108157654176,0.1118100477911729,0.042424108157654176,0.042424108157654176,0.1118100477911729,0.042424108157654176,1.0,1.0,0.008711991842347095,0.008711991842347095,0.008711991842347095,0.008711991842347095,1.0,1.0,0.03371211631530708,0.03371211631530708
35,,2.5,432000,10910,0.04209858417354171,0.10977643062855375,0.046498999458191075,0.3193687987012994,0.2039755061888997,0.317578658536586,1.015032080659945,0.015032080659945005,0.008687616605561266,0.009582597278098317,0.2236213086059732,0.22848177760874572,1.003968835930339,0.003968835930339139,0.03341096756798044,0.09574749009532621
35,,3.0,432000,10910,0.037928911666885556,0.040623549393285004,0.03759303402501455,0.03710580957443437,0.041662225768986816,0.036253006834332635,7.761044912923923,6.746012832263978,0.009894894797813839,0.009398453744588978,0.010197382905773702,0.00937256042308392,8.153620531622366,7.149651695692027,0.02803401686907172,0.026908426668660668
35,,3.5,432000,10910,0.03314807331617427,0.030902277918528193,0.03296355207302316,0.02632780413381807,0.04156146164764453,0.027011290694849945,13.797341888175986,6.036296975252062,0.00806387207087621,0.007651187552862428,0.006049625707619304,0.005307585360274912,14.232520623281394,6.078900091659028,0.025084201245298057,0.020278178426198768
35,,4.0,432000,10910,0.0344184762560307,0.02942873669341211,0.034461477517501976,0.04827091349755992,0.08610768837840425,0.0519582742298447,14.978551787351053,1.1812098991750688,0.008573931072583824,0.008573383278044808,0.022902120420673362,0.02578381380732505,14.995123739688358,0.762603116406966,0.025844545183446876,0.02536879307688656
35,,4.5,432000,10910,0.035509975010716587,0.027683223822063747,0.03583217621201237,0.04327241910506035,0.07076828431676681,0.04441991910439791,17.36929422548121,2.3907424381301556,0.00903896196174254,0.009659722781555791,0.013704365437688881,0.018047678255724568,16.937644362969756,1.9425206232813934,0.02647101304897405,0.029568053667371468
35,,5.0,432000,10910,0.03150624354777336,0.02489286594976628,0.0316440701538129,0.024134902638205433,0.03839287241912157,0.023780000495442495,26.619523373052246,9.250229147571035,0.009145115293500507,0.009143666963640558,0.009274206962525827,0.008260622355989209,26.83686526122823,9.899220898258479,0.02236112825427285,0.014860695675679606
35,,5.5,432000,10910,0.028664705512787977,0.022485146206466203,0.02874566187308699,0.023395087054051505,0.03003415614988025,0.02341905624319809,41.104216315307056,14.484692942254812,0.009151241854013012,0.009178230525140964,0.009211555932359821,0.009241593569964962,41.46096241979835,14.62409715857012,0.019513463658774967,0.014183531121691684
35,,6.0,432000,10910,0.026272120652584434,0.02106892194016361,0.025978297444028756,0.020139982894920163,0.028705550592350134,0.01892598671387152,57.23373052245646,16.129514207149406,0.00893241413630844,0.008600899855654738,0.008112371585300131,0.007142523574577691,57.87604032997251,16.415077910174155,0.017339706516275994,0.012027611309620032
35,,6.5,432000,10910,0.026810231337512258,0.020530302242246702,0.02692096077101018,0.036852726860554824,0.05449388560481115,0.039278055170676784,61.599816681943175,4.366086159486709,0.009208651827951185,0.009397605145056078,0.013029108606123798,0.022150700201025036,61.491759853345556,3.615719523373052,0.017601579509561073,0.023823618254431026
35,,7.0,432000,10910,0.026416781373469755,0.020086970726947508,0.026819363887294653,0.024211399156401005,0.03466900012482059,0.026178268405585545,71.36177818515124,9.761961503208067,0.009469661694201858,0.009939752697121268,0.011391315406377698,0.013726405137314452,70.29557286892758,8.803813015582035,0.016947119679267895,0.012820083750023307
