frame,strain,N_total,N_omega,N_twin,N_overlap,N_omega_only,N_twin_only,f_overlap_in_omega,f_overlap_in_twin,f_overlap_in_total
35,,432000,41629,62891,27234,14395,35657,0.6542074034927574,0.4330349334562974,0.06304166666666666
36,,432000,45193,62628,30098,15095,32530,0.6659880955015157,0.48058376445040557,0.0696712962962963
37,,432000,46597,61325,31050,15547,30275,0.6663519110672361,0.506318793314309,0.071875
38,,432000,46117,59841,30335,15782,29506,0.6577834637985992,0.5069266890593406,0.07021990740740741
39,,432000,46198,59704,30809,15389,28895,0.6668903415732282,0.5160290767787753,0.07131712962962963
40,,432000,46126,58429,30202,15924,28227,0.6547717122664007,0.5169008540279656,0.06991203703703704
