path_str,count,fraction
BCC,304177,0.704113425925926
BCC -> FCC -> BCC,111995,0.2592476851851852
BCC -> FCC -> BCC -> FCC -> BCC,5452,0.01262037037037037
BCC -> FCC,4381,0.010141203703703704
BCC -> FCC -> BCC -> FCC,2107,0.004877314814814815
BCC -> OMEGA,1444,0.0033425925925925928
BCC -> OMEGA -> BCC,1128,0.002611111111111111
BCC -> FCC -> BCC -> OMEGA,504,0.0011666666666666668
BCC -> FCC -> BCC -> OMEGA -> BCC,279,0.0006458333333333333
BCC -> FCC -> OMEGA -> BCC,159,0.00036805555555555555
BCC -> FCC -> OMEGA,121,0.0002800925925925926
BCC -> FCC -> BCC -> FCC -> BCC -> FCC,105,0.00024305555555555555
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,62,0.00014351851851851852
BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA,26,6.018518518518519e-05
BCC -> FCC -> BCC -> FCC -> OMEGA,13,3.0092592592592593e-05
BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC,8,1.8518518518518518e-05
BCC -> OMEGA -> FCC,7,1.6203703703703704e-05
BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA -> BCC,6,1.388888888888889e-05
BCC -> FCC -> BCC -> OMEGA -> FCC,5,1.1574074074074073e-05
BCC -> OMEGA -> BCC -> OMEGA,4,9.259259259259259e-06
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC,4,9.259259259259259e-06
BCC -> FCC -> OMEGA -> FCC,4,9.259259259259259e-06
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,2,4.6296296296296296e-06
BCC -> FCC -> OMEGA -> FCC -> BCC,2,4.6296296296296296e-06
BCC -> OMEGA -> FCC -> BCC,2,4.6296296296296296e-06
BCC -> OMEGA -> BCC -> OMEGA -> BCC,1,2.3148148148148148e-06
BCC -> FCC -> OMEGA -> BCC -> FCC,1,2.3148148148148148e-06
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,1,2.3148148148148148e-06
