path_str,count,fraction
OMEGA -> BCC -> OMEGA,5,1.1574074074074073e-05
OMEGA -> BCC -> OMEGA -> FCC -> BCC -> FCC,4,9.259259259259259e-06
FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,4,9.259259259259259e-06
FCC -> BCC -> FCC -> BCC -> OMEGA,4,9.259259259259259e-06
OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA,4,9.259259259259259e-06
BCC -> OMEGA -> BCC -> OMEGA -> BCC -> FCC -> OMEGA,3,6.944444444444445e-06
BCC -> OMEGA -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,3,6.944444444444445e-06
FCC -> BCC -> OMEGA,3,6.944444444444445e-06
BCC -> OMEGA -> BCC -> OMEGA -> BCC,3,6.944444444444445e-06
OMEGA -> BCC -> OMEGA -> FCC -> OMEGA,3,6.944444444444445e-06
BCC -> OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC,2,4.6296296296296296e-06
OMEGA -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,2,4.6296296296296296e-06
OMEGA -> BCC -> OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC,2,4.6296296296296296e-06
BCC -> OMEGA -> FCC -> BCC -> FCC -> BCC -> FCC,2,4.6296296296296296e-06
BCC -> OMEGA -> BCC -> OMEGA -> FCC,2,4.6296296296296296e-06
OMEGA -> BCC -> FCC -> BCC -> OMEGA -> BCC,2,4.6296296296296296e-06
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,2,4.6296296296296296e-06
OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,2,4.6296296296296296e-06
BCC -> OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,1,2.3148148148148148e-06
BCC -> FCC -> BCC -> FCC -> OMEGA -> FCC,1,2.3148148148148148e-06
OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> FCC -> BCC -> FCC -> BCC,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> BCC -> OMEGA,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> BCC -> OMEGA -> BCC -> FCC,1,2.3148148148148148e-06
FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC,1,2.3148148148148148e-06
BCC -> OMEGA -> FCC -> BCC -> FCC -> OMEGA,1,2.3148148148148148e-06
BCC -> OMEGA -> BCC -> OMEGA -> FCC -> BCC,1,2.3148148148148148e-06
BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA,1,2.3148148148148148e-06
OMEGA -> FCC -> OMEGA -> BCC,1,2.3148148148148148e-06
FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,1,2.3148148148148148e-06
BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> FCC -> BCC -> FCC -> BCC -> FCC,1,2.3148148148148148e-06
BCC -> FCC -> OMEGA -> BCC -> OMEGA,1,2.3148148148148148e-06
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC -> OMEGA,1,2.3148148148148148e-06
FCC -> BCC -> FCC -> OMEGA -> BCC,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,1,2.3148148148148148e-06
OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,1,2.3148148148148148e-06
OMEGA -> BCC -> FCC -> OMEGA -> FCC,1,2.3148148148148148e-06
BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA -> FCC,1,2.3148148148148148e-06
OMEGA,1,2.3148148148148148e-06
BCC -> FCC -> BCC -> OMEGA -> FCC,1,2.3148148148148148e-06
BCC -> OMEGA -> BCC -> OMEGA,1,2.3148148148148148e-06
BCC -> OMEGA -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,1,2.3148148148148148e-06
OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> OMEGA,1,2.3148148148148148e-06
