path_str,count,fraction
BCC -> FCC -> BCC,196009,0.453724537037037
BCC -> FCC,97077,0.22471527777777778
BCC,42543,0.09847916666666667
BCC -> FCC -> BCC -> FCC -> BCC,40724,0.09426851851851852
BCC -> FCC -> BCC -> FCC,19855,0.045960648148148146
BCC -> FCC -> OMEGA,6279,0.014534722222222221
FCC,6075,0.0140625
OMEGA -> BCC -> FCC,3581,0.008289351851851852
OMEGA -> BCC -> FCC -> BCC,2845,0.006585648148148148
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,2264,0.005240740740740741
OMEGA -> FCC,1658,0.003837962962962963
FCC -> BCC,1399,0.003238425925925926
BCC -> FCC -> BCC -> FCC -> OMEGA,1257,0.0029097222222222224
BCC -> FCC -> BCC -> FCC -> BCC -> FCC,1189,0.0027523148148148146
FCC -> BCC -> FCC,962,0.002226851851851852
BCC -> OMEGA -> BCC -> FCC -> BCC,816,0.001888888888888889
BCC -> FCC -> BCC -> OMEGA,784,0.001814814814814815
BCC -> OMEGA -> BCC -> FCC,718,0.001662037037037037
OMEGA -> BCC -> FCC -> BCC -> FCC,587,0.0013587962962962963
BCC -> OMEGA,577,0.001335648148148148
OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC,533,0.0012337962962962962
OMEGA -> FCC -> BCC,421,0.000974537037037037
BCC -> FCC -> OMEGA -> BCC,411,0.0009513888888888889
FCC -> BCC -> FCC -> BCC,381,0.0008819444444444444
OMEGA -> BCC -> FCC -> OMEGA,296,0.0006851851851851852
FCC -> OMEGA,295,0.0006828703703703704
OMEGA -> FCC -> BCC -> FCC,277,0.0006412037037037037
BCC -> OMEGA -> FCC,182,0.0004212962962962963
BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC,140,0.00032407407407407406
OMEGA -> BCC,137,0.0003171296296296296
BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA,132,0.00030555555555555555
OMEGA -> FCC -> OMEGA,116,0.0002685185185185185
BCC -> OMEGA -> BCC,116,0.0002685185185185185
BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC,114,0.00026388888888888886
OMEGA -> FCC -> BCC -> FCC -> BCC,109,0.0002523148148148148
BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC,100,0.0002314814814814815
OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC,83,0.00019212962962962963
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA,76,0.00017592592592592592
OMEGA -> BCC -> OMEGA -> BCC -> FCC,67,0.0001550925925925926
BCC -> OMEGA -> FCC -> BCC,64,0.00014814814814814815
FCC -> BCC -> FCC -> BCC -> FCC,51,0.00011805555555555556
OMEGA -> BCC -> FCC -> BCC -> FCC -> OMEGA,51,0.00011805555555555556
BCC -> FCC -> BCC -> OMEGA -> BCC,44,0.00010185185185185185
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,41,9.49074074074074e-05
BCC -> OMEGA -> FCC -> BCC -> FCC,41,9.49074074074074e-05
FCC -> BCC -> FCC -> OMEGA,40,9.259259259259259e-05
BCC -> OMEGA -> BCC -> FCC -> OMEGA,38,8.796296296296296e-05
FCC -> BCC -> FCC -> BCC -> FCC -> BCC,32,7.407407407407407e-05
OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,31,7.175925925925926e-05
BCC -> OMEGA -> FCC -> BCC -> FCC -> BCC,31,7.175925925925926e-05
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC,28,6.481481481481482e-05
OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC,20,4.6296296296296294e-05
OMEGA -> BCC -> FCC -> BCC -> OMEGA,16,3.7037037037037037e-05
BCC -> OMEGA -> FCC -> OMEGA,15,3.472222222222222e-05
OMEGA -> FCC -> BCC -> FCC -> OMEGA,14,3.240740740740741e-05
OMEGA -> FCC -> BCC -> FCC -> BCC -> FCC,13,3.0092592592592593e-05
OMEGA -> BCC -> FCC -> OMEGA -> BCC,11,2.546296296296296e-05
BCC -> FCC -> OMEGA -> FCC,10,2.3148148148148147e-05
BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> OMEGA,10,2.3148148148148147e-05
OMEGA -> BCC -> OMEGA -> FCC,10,2.3148148148148147e-05
OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC,10,2.3148148148148147e-05
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA,10,2.3148148148148147e-05
OMEGA -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,9,2.0833333333333333e-05
BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA -> BCC,9,2.0833333333333333e-05
BCC -> OMEGA -> BCC -> OMEGA -> BCC -> FCC,9,2.0833333333333333e-05
OMEGA -> BCC -> OMEGA -> FCC -> BCC,7,1.6203703703703704e-05
BCC -> OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC,7,1.6203703703703704e-05
OMEGA -> BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC,7,1.6203703703703704e-05
BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC,7,1.6203703703703704e-05
BCC -> OMEGA -> BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC,7,1.6203703703703704e-05
OMEGA -> BCC -> OMEGA -> BCC,6,1.388888888888889e-05
BCC -> OMEGA -> BCC -> FCC -> BCC -> OMEGA,6,1.388888888888889e-05
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC,6,1.388888888888889e-05
OMEGA -> BCC -> OMEGA -> BCC -> FCC -> OMEGA,6,1.388888888888889e-05
BCC -> OMEGA -> BCC -> FCC -> OMEGA -> BCC,5,1.1574074074074073e-05
BCC -> FCC -> BCC -> FCC -> BCC -> FCC -> BCC -> OMEGA -> BCC,5,1.1574074074074073e-05
FCC -> OMEGA -> BCC,5,1.1574074074074073e-05
OMEGA -> BCC -> FCC -> BCC -> FCC -> OMEGA -> BCC,5,1.1574074074074073e-05
