source_state,target_state,count,source_stage,target_stage,source_node,target_node,source_fraction
BCC,FCC,366317,0,1,stage_0_BCC,stage_1_FCC,0.9920783659497023
BCC,OMEGA,2925,0,1,stage_0_BCC,stage_1_OMEGA,0.007921634050297636
FCC,BCC,2879,0,1,stage_0_FCC,stage_1_BCC,0.9056307014784524
FCC,OMEGA,300,0,1,stage_0_FCC,stage_1_OMEGA,0.09436929852154766
OMEGA,BCC,8340,0,1,stage_0_OMEGA,stage_1_BCC,0.7609489051094891
OMEGA,FCC,2620,0,1,stage_0_OMEGA,stage_1_FCC,0.23905109489051096
BCC,FCC,9464,1,2,stage_1_BCC,stage_2_FCC,0.9773830424455231
BCC,OMEGA,219,1,2,stage_1_BCC,stage_2_OMEGA,0.02261695755447692
FCC,BCC,263384,1,2,stage_1_FCC,stage_2_BCC,0.9747670261508057
FCC,OMEGA,6818,1,2,stage_1_FCC,stage_2_OMEGA,0.025232973849194307
OMEGA,BCC,2013,1,2,stage_1_OMEGA,stage_2_BCC,0.8555036124096898
OMEGA,FCC,340,1,2,stage_1_OMEGA,stage_2_FCC,0.14449638759031025
BCC,FCC,67988,2,3,stage_2_BCC,stage_3_FCC,0.9875374023182175
BCC,OMEGA,858,2,3,stage_2_BCC,stage_3_OMEGA,0.012462597681782529
FCC,BCC,4715,2,3,stage_2_FCC,stage_3_BCC,0.9283323488875763
FCC,OMEGA,364,2,3,stage_2_FCC,stage_3_OMEGA,0.07166765111242371
OMEGA,BCC,598,2,3,stage_2_OMEGA,stage_3_BCC,0.943217665615142
OMEGA,FCC,36,2,3,stage_2_OMEGA,stage_3_FCC,0.056782334384858045
