frame,strain,mode,r_mid_A,CN_sum_r,P_sum_r,g_r_RDF_like,composition
36,,Omega_center__Twin_target,7.75,34.54298232027084,0.9426017303564712,1.8309952799224023,Ti20Nb
36,,Omega_center__Twin_target,8.25,39.499258734759806,0.9485097249574048,1.416902342957211,Ti20Nb
36,,Omega_center__Twin_target,8.75,44.19551700484588,0.9545062288407496,1.1935563212313014,Ti20Nb
36,,Omega_center__Twin_target,9.25,49.83756333945522,0.9598167857854092,1.2831359135108142,Ti20Nb
36,,Omega_center__Twin_target,9.75,59.3244750293187,0.9663222180426172,1.9419840974209883,Ti20Nb
36,,Twin_center__Omega_target,0.25,0.0,0.0,0.0,Ti20Nb
36,,Twin_center__Omega_target,0.75,0.0,0.0,0.0,Ti20Nb
36,,Twin_center__Omega_target,1.25,0.0,0.0,0.0,Ti20Nb
36,,Twin_center__Omega_target,1.75,0.0,0.0,0.0,Ti20Nb
36,,Twin_center__Omega_target,2.25,0.0073928594238998,0.0,0.0392271214557423,Ti20Nb
36,,Twin_center__Omega_target,2.75,2.276665389282749,0.3994539183751676,8.071404091298902,Ti20Nb
36,,Twin_center__Omega_target,3.25,3.464456792488982,0.8622181771731494,3.027194207857766,Ti20Nb
36,,Twin_center__Omega_target,3.75,4.125407166123779,0.8829916331353388,1.265860868760196,Ti20Nb
36,,Twin_center__Omega_target,4.25,4.843153222200932,0.90041195631347,1.0705696024721727,Ti20Nb
36,,Twin_center__Omega_target,4.75,6.636041387238935,0.9352206680717888,2.141350388467161,Ti20Nb
36,,Twin_center__Omega_target,5.25,10.12954269655745,0.9722648016861468,3.4161485188271903,Ti20Nb
36,,Twin_center__Omega_target,5.75,12.66736922782142,0.9868748802452576,2.06907033246274,Ti20Nb
36,,Twin_center__Omega_target,6.25,14.084083796385004,0.99120201826659,0.9777174000801954,Ti20Nb
36,,Twin_center__Omega_target,6.75,16.190058759660214,0.9939803282876668,1.24614822866488,Ti20Nb
36,,Twin_center__Omega_target,7.25,20.847895509995528,0.9975250686593856,2.389234245226098,Ti20Nb
36,,Twin_center__Omega_target,7.75,24.926566392029123,0.9989621255668392,1.8309952799224027,Ti20Nb
36,,Twin_center__Omega_target,8.25,28.503065721402567,0.999568882927764,1.4169023429572112,Ti20Nb
36,,Twin_center__Omega_target,8.75,31.89193332055949,0.9996966213195376,1.1935563212313016,Ti20Nb
36,,Twin_center__Omega_target,9.25,35.96329117966405,0.999888228907198,1.2831359135108142,Ti20Nb
36,,Twin_center__Omega_target,9.75,42.8091428753912,0.9999361308041133,1.9419840974209888,Ti20Nb
37,,Omega_center__Twin_target,0.25,0.0,0.0,0.0,Ti20Nb
37,,Omega_center__Twin_target,0.75,0.0,0.0,0.0,Ti20Nb
37,,Omega_center__Twin_target,1.25,0.0,0.0,0.0,Ti20Nb
37,,Omega_center__Twin_target,1.75,0.0,0.0,0.0,Ti20Nb
37,,Omega_center__Twin_target,2.25,0.0102367105178444,0.0,0.0400298521059676,Ti20Nb
37,,Omega_center__Twin_target,2.75,3.153099984977574,0.4905251411035045,8.238297939366914,Ti20Nb
37,,Omega_center__Twin_target,3.25,4.838315771401592,0.7995793720625791,3.165229438499581,Ti20Nb
37,,Omega_center__Twin_target,3.75,5.765714530978389,0.8076056398480589,1.3089805833221,Ti20Nb
37,,Omega_center__Twin_target,4.25,6.759877245316222,0.8232504238470287,1.092826293629984,Ti20Nb
37,,Omega_center__Twin_target,4.75,9.227954589351246,0.8495396699358327,2.17241540090089,Ti20Nb
37,,Omega_center__Twin_target,5.25,14.128270060304311,0.8820739532587935,3.5314205870177764,Ti20Nb
37,,Omega_center__Twin_target,5.75,17.627143378329077,0.9043500654548576,2.102282669633569,Ti20Nb
37,,Omega_center__Twin_target,6.25,19.58209755992875,0.9128913878575874,0.9942993122133288,Ti20Nb
37,,Omega_center__Twin_target,6.75,22.4724338476726,0.9189647402193274,1.2604175671396622,Ti20Nb
37,,Omega_center__Twin_target,7.25,28.88349035345623,0.9344592999549328,2.423559262766928,Ti20Nb
37,,Omega_center__Twin_target,7.75,34.49846556645278,0.9439663497650064,1.857658919525078,Ti20Nb
37,,Omega_center__Twin_target,8.25,39.37665514947314,0.949932399081486,1.424262423484393,Ti20Nb
37,,Omega_center__Twin_target,8.75,44.00701761916003,0.9546751936819968,1.2018572190955366,Ti20Nb
37,,Omega_center__Twin_target,9.25,49.49144794729274,0.9592033821919866,1.2738388165532908,Ti20Nb
37,,Omega_center__Twin_target,9.75,58.81209090713995,0.9663497650063309,1.9485592954075464,Ti20Nb
37,,Twin_center__Omega_target,0.25,0.0,0.0,0.0,Ti20Nb
37,,Twin_center__Omega_target,0.75,0.0,0.0,0.0,Ti20Nb
37,,Twin_center__Omega_target,1.25,0.0,0.0,0.0,Ti20Nb
37,,Twin_center__Omega_target,1.75,0.0,0.0,0.0,Ti20Nb
37,,Twin_center__Omega_target,2.25,0.0077782307378719,0.0,0.0400298521059676,Ti20Nb
37,,Twin_center__Omega_target,2.75,2.3958418263351,0.4185731757032205,8.238297939366916,Ti20Nb
37,,Twin_center__Omega_target,3.25,3.6763310232368527,0.8770322054626988,3.1652294384995816,Ti20Nb
37,,Twin_center__Omega_target,3.75,4.381002853648593,0.8963880962087241,1.3089805833221,Ti20Nb
37,,Twin_center__Omega_target,4.25,5.136404402772116,0.9122380758255196,1.0928262936299842,Ti20Nb
37,,Twin_center__Omega_target,4.75,7.011740725642071,0.943758662861802,2.1724154009008902,Ti20Nb
37,,Twin_center__Omega_target,5.25,10.735181410517733,0.9756706074194864,3.5314205870177773,Ti20Nb
37,,Twin_center__Omega_target,5.75,13.393754586220954,0.9889930697105584,2.1022826696335697,Ti20Nb
37,,Twin_center__Omega_target,6.25,14.879200978393804,0.992906644924582,0.9942993122133292,Ti20Nb
37,,Twin_center__Omega_target,6.75,17.07538524256013,0.994863432531594,1.2604175671396625,Ti20Nb
37,,Twin_center__Omega_target,7.25,21.946742763962494,0.9976681614349776,2.423559262766928,Ti20Nb
37,,Twin_center__Omega_target,7.75,26.21320831634733,0.999233591520587,1.857658919525078,Ti20Nb
37,,Twin_center__Omega_target,8.25,29.91983693436608,0.9996575621687728,1.424262423484393,Ti20Nb
37,,Twin_center__Omega_target,8.75,33.43815735833673,0.9997717081125151,1.2018572190955368,Ti20Nb
37,,Twin_center__Omega_target,9.25,37.605430085609456,0.9998858540562576,1.273838816553291,Ti20Nb
37,,Twin_center__Omega_target,9.75,44.68759885854056,0.9999836934366082,1.948559295407547,Ti20Nb
38,,Omega_center__Twin_target,0.25,0.0,0.0,0.0,Ti20Nb
38,,Omega_center__Twin_target,0.75,0.0,0.0,0.0,Ti20Nb
38,,Omega_center__Twin_target,1.25,0.0,0.0,0.0,Ti20Nb
38,,Omega_center__Twin_target,1.75,0.0,0.0,0.0,Ti20Nb
38,,Omega_center__Twin_target,2.25,0.0103215733894225,0.0,0.0413715147978521,Ti20Nb
38,,Omega_center__Twin_target,2.75,3.099963137237895,0.4870438233189496,8.301413737286216,Ti20Nb
38,,Omega_center__Twin_target,3.25,4.751284775679251,0.7974499642214368,3.1791667209166548,Ti20Nb
38,,Omega_center__Twin_target,3.75,5.656872736734827,0.8042587332220222,1.3101749406129068,Ti20Nb
38,,Omega_center__Twin_target,4.25,6.650367543422165,0.8208686601470173,1.1194152529052075,Ti20Nb
38,,Omega_center__Twin_target,4.75,9.053732896762584,0.8470629052193335,2.1683823224147973,Ti20Nb
38,,Omega_center__Twin_target,5.25,13.840340872129584,0.8813235899993495,3.535779871377552,Ti20Nb
38,,Omega_center__Twin_target,5.75,17.260749831949173,0.9031593555521824,2.106555382461965,Ti20Nb
38,,Omega_center__Twin_target,6.25,19.190580480083263,0.9115076869700978,1.006078132056109,Ti20Nb
38,,Omega_center__Twin_target,6.75,22.036819394149664,0.917861092438797,1.2722409743533505,Ti20Nb
38,,Omega_center__Twin_target,7.25,28.25465663421298,0.9328664050133356,2.4093247567570653,Ti20Nb
38,,Omega_center__Twin_target,7.75,33.78658629138929,0.9434048181798468,1.875973663793575,Ti20Nb
38,,Omega_center__Twin_target,8.25,38.53006483509335,0.9494546479606218,1.4195811919398007,Ti20Nb
38,,Omega_center__Twin_target,8.75,43.06756727454084,0.954138387145738,1.207220809367371,Ti20Nb
38,,Omega_center__Twin_target,9.25,48.49352733265391,0.9589739141748164,1.2917887609285763,Ti20Nb
38,,Omega_center__Twin_target,9.75,57.5321464969534,0.9651104798664268,1.936875904878741,Ti20Nb
38,,Twin_center__Omega_target,0.25,0.0,0.0,0.0,Ti20Nb
38,,Twin_center__Omega_target,0.75,0.0,0.0,0.0,Ti20Nb
38,,Twin_center__Omega_target,1.25,0.0,0.0,0.0,Ti20Nb
38,,Twin_center__Omega_target,1.75,0.0,0.0,0.0,Ti20Nb
38,,Twin_center__Omega_target,2.25,0.0079544125265286,0.0,0.0413715147978521,Ti20Nb
38,,Twin_center__Omega_target,2.75,2.3890142210190337,0.4223358566868869,8.301413737286216,Ti20Nb
38,,Twin_center__Omega_target,3.25,3.6616199595594994,0.8852960344914023,3.1791667209166548,Ti20Nb
38,,Twin_center__Omega_target,3.75,4.359519393058271,0.90486455774469,1.3101749406129068,Ti20Nb
38,,Twin_center__Omega_target,4.25,5.125165020638024,0.920004679066192,1.1194152529052075,Ti20Nb
38,,Twin_center__Omega_target,4.75,6.977339950869805,0.9505690078708576,2.1683823224147973,Ti20Nb
