,BCC,FCC_like,OMEGA,TB,OMEGA_TB,OTHER,TWIN,OMEGA_TWIN
BCC,0.8978245272535844,0.06866704703992513,0.0037232996971275434,0.004883642583574158,0.0022442421172528993,0.02265724130853587,0.0,0.0
FCC_like,0.30370365531647425,0.6172852006207113,0.0023654097116072737,0.015339235607581504,0.004144729106515292,0.057161769637110296,0.0,0.0
OMEGA,0.5963448010676076,0.036732939766121554,0.10296080161045894,0.060573160525661036,0.07232362986587049,0.1310646671642804,0.0,0.0
TB,0.2307821098101372,0.05782574886614355,0.022718055757088695,0.33192694206635337,0.11526083349145934,0.24148631000881784,0.0,0.0
OMEGA_TB,0.2453329652215573,0.01961819230050913,0.053868827699328464,0.23043255840391064,0.28602284999715794,0.16472460637753653,0.0,0.0
OTHER,0.4277425894585214,0.18347110622393603,0.018180686503196587,0.09924538591722956,0.034295520627402626,0.23706471126971376,0.0,0.0
TWIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMEGA_TWIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
