class,count,fraction_all_atoms
omega_only,28017,0.06485416666666667
twin_only,69947,0.16191435185185185
omega_before_twin,18898,0.04374537037037037
twin_before_omega,34330,0.07946759259259259
simultaneous,37343,0.08644212962962963
none,243465,0.5635763888888888
