frame,strain,total_atoms,count_BCC,fraction_BCC,count_FCC_like,fraction_FCC_like,count_OMEGA,fraction_OMEGA,count_TB,fraction_TB,count_OMEGA_TB,fraction_OMEGA_TB,count_OTHER,fraction_OTHER,count_TWIN,fraction_TWIN,count_OMEGA_TWIN,fraction_OMEGA_TWIN
0,,432000,426756,0.9878611111111111,3,6.944444444444445e-06,3680,0.008518518518518519,42,9.722222222222222e-05,602,0.0013935185185185185,917,0.0021226851851851854,0,0.0,0,0.0
1,,432000,427011,0.9884513888888888,5,1.1574074074074073e-05,3461,0.008011574074074074,41,9.49074074074074e-05,637,0.001474537037037037,845,0.0019560185185185184,0,0.0,0,0.0
2,,432000,426953,0.9883171296296296,11,2.546296296296296e-05,3452,0.007990740740740741,24,5.555555555555556e-05,500,0.0011574074074074073,1060,0.0024537037037037036,0,0.0,0,0.0
3,,432000,426975,0.9883680555555555,18,4.1666666666666665e-05,3304,0.007648148148148148,32,7.407407407407407e-05,486,0.001125,1185,0.0027430555555555554,0,0.0,0,0.0
4,,432000,426800,0.9879629629629629,71,0.00016435185185185186,3106,0.007189814814814815,27,6.25e-05,393,0.0009097222222222222,1603,0.0037106481481481482,0,0.0,0,0.0
5,,432000,426920,0.9882407407407408,150,0.00034722222222222224,2883,0.006673611111111111,19,4.398148148148148e-05,200,0.000462962962962963,1828,0.004231481481481482,0,0.0,0,0.0
6,,432000,426400,0.987037037037037,300,0.0006944444444444445,2865,0.006631944444444445,30,6.944444444444444e-05,210,0.0004861111111111111,2195,0.0050810185185185186,0,0.0,0,0.0
7,,432000,426215,0.9866087962962963,644,0.0014907407407407408,2496,0.0057777777777777775,28,6.481481481481482e-05,152,0.00035185185185185184,2465,0.005706018518518518,0,0.0,0,0.0
8,,432000,425607,0.9852013888888889,1235,0.0028587962962962963,2131,0.0049328703703703704,15,3.472222222222222e-05,61,0.00014120370370370372,2951,0.006831018518518518,0,0.0,0,0.0
9,,432000,424780,0.983287037037037,2005,0.004641203703703704,1901,0.004400462962962963,1,2.3148148148148148e-06,31,7.175925925925926e-05,3282,0.007597222222222222,0,0.0,0,0.0
10,,432000,423214,0.979662037037037,3289,0.007613425925925926,1641,0.003798611111111111,11,2.546296296296296e-05,77,0.00017824074074074075,3768,0.008722222222222221,0,0.0,0,0.0
11,,432000,420419,0.9731921296296296,5401,0.012502314814814815,1442,0.003337962962962963,4,9.259259259259259e-06,18,4.1666666666666665e-05,4716,0.010916666666666667,0,0.0,0,0.0
12,,432000,417390,0.9661805555555556,8139,0.01884027777777778,1198,0.0027731481481481483,15,3.472222222222222e-05,41,9.49074074074074e-05,5217,0.012076388888888888,0,0.0,0,0.0
13,,432000,412720,0.9553703703703704,12258,0.028375,1108,0.002564814814814815,1,2.3148148148148148e-06,13,3.0092592592592593e-05,5900,0.013657407407407408,0,0.0,0,0.0
14,,432000,407296,0.9428148148148148,17474,0.040449074074074075,848,0.001962962962962963,0,0.0,0,0.0,6382,0.014773148148148148,0,0.0,0,0.0
15,,432000,398914,0.923412037037037,24779,0.0573587962962963,752,0.0017407407407407408,1,2.3148148148148148e-06,8,1.8518518518518518e-05,7546,0.017467592592592594,0,0.0,0,0.0
16,,432000,389206,0.9009398148148148,33787,0.07821064814814815,640,0.0014814814814814814,0,0.0,0,0.0,8367,0.019368055555555555,0,0.0,0,0.0
17,,432000,377372,0.8735462962962963,44789,0.10367824074074074,540,0.00125,0,0.0,0,0.0,9299,0.02152546296296296,0,0.0,0,0.0
18,,432000,362317,0.8386967592592592,58971,0.13650694444444444,491,0.0011365740740740741,0,0.0,0,0.0,10221,0.02365972222222222,0,0.0,0,0.0
19,,432000,344672,0.7978518518518518,75576,0.17494444444444446,464,0.001074074074074074,0,0.0,0,0.0,11288,0.02612962962962963,0,0.0,0,0.0
20,,432000,324458,0.7510601851851851,94674,0.21915277777777778,458,0.0010601851851851853,8,1.8518518518518518e-05,0,0.0,12402,0.028708333333333332,0,0.0,0,0.0
21,,432000,302158,0.6994398148148148,116264,0.2691296296296296,418,0.0009675925925925926,0,0.0,0,0.0,13160,0.030462962962962963,0,0.0,0,0.0
22,,432000,278269,0.6441412037037038,139030,0.3218287037037037,439,0.0010162037037037036,0,0.0,0,0.0,14262,0.03301388888888889,0,0.0,0,0.0
23,,432000,252323,0.5840810185185186,163573,0.3786412037037037,468,0.0010833333333333333,0,0.0,0,0.0,15636,0.036194444444444446,0,0.0,0,0.0
