,BCC,FCC_like,OMEGA,TB,OMEGA_TB,OTHER,TWIN,OMEGA_TWIN
BCC,7863400,1012131,132470,44101,81968,874496,0,0
FCC_like,915529,2865144,14206,34114,18617,258914,0,0
OMEGA,140053,6949,57507,6345,35336,52268,0,0
TB,41254,5726,7939,48853,25871,70738,0,0
OMEGA_TB,95775,1428,40927,22368,214994,52317,0,0
OTHER,819607,222424,45531,70632,46628,1033440,0,0
TWIN,0,0,0,0,0,0,0,0
OMEGA_TWIN,0,0,0,0,0,0,0,0
