source_state,target_state,count,row_normalized_probability
BCC,BCC,7863400,0.7856669976498132
BCC,FCC_like,1012131,0.10112647506146236
BCC,OMEGA,132470,0.01323566233164671
BCC,TB,44101,0.004406325541541116
BCC,OMEGA_TB,81968,0.008189784630485527
BCC,OTHER,874496,0.08737475478505112
BCC,TWIN,0,0.0
BCC,OMEGA_TWIN,0,0.0
FCC_like,BCC,915529,0.22294500166077197
FCC_like,FCC_like,2865144,0.6977054072982406
FCC_like,OMEGA,14206,0.0034593734262846143
FCC_like,TB,34114,0.008307269116167347
FCC_like,OMEGA_TB,18617,0.0045335178851992584
FCC_like,OTHER,258914,0.06304943061333625
FCC_like,TWIN,0,0.0
FCC_like,OMEGA_TWIN,0,0.0
OMEGA,BCC,140053,0.4692553056041386
OMEGA,FCC_like,6949,0.023283007994424676
OMEGA,OMEGA,57507,0.19268037713849184
OMEGA,TB,6345,0.02125927266148001
OMEGA,OMEGA_TB,35336,0.11839521808763712
OMEGA,OTHER,52268,0.17512681851382775
OMEGA,TWIN,0,0.0
OMEGA,OMEGA_TWIN,0,0.0
TB,BCC,41254,0.20587780278569326
TB,FCC_like,5726,0.028575563551434518
TB,OMEGA,7939,0.039619524805246005
TB,TB,48853,0.243800559933327
TB,OMEGA_TB,25871,0.12910904726496025
TB,OTHER,70738,0.353017501659339
TB,TWIN,0,0.0
TB,OMEGA_TWIN,0,0.0
OMEGA_TB,BCC,95775,0.22387327054830544
OMEGA_TB,FCC_like,1428,0.0033379381920436457
OMEGA_TB,OMEGA,40927,0.09566652407967106
OMEGA_TB,TB,22368,0.05228501504175929
OMEGA_TB,OMEGA_TB,214994,0.5025466972410585
OMEGA_TB,OTHER,52317,0.12229055489716205
OMEGA_TB,TWIN,0,0.0
OMEGA_TB,OMEGA_TWIN,0,0.0
OTHER,BCC,819607,0.36618009866583984
OTHER,FCC_like,222424,0.09937353178492955
OTHER,OMEGA,45531,0.020342122593333577
OTHER,TB,70632,0.031556627418952744
OTHER,OMEGA_TB,46628,0.020832235010914718
OTHER,OTHER,1033440,0.46171538452602956
OTHER,TWIN,0,0.0
OTHER,OMEGA_TWIN,0,0.0
TWIN,BCC,0,0.0
TWIN,FCC_like,0,0.0
TWIN,OMEGA,0,0.0
TWIN,TB,0,0.0
TWIN,OMEGA_TB,0,0.0
TWIN,OTHER,0,0.0
TWIN,TWIN,0,0.0
TWIN,OMEGA_TWIN,0,0.0
OMEGA_TWIN,BCC,0,0.0
OMEGA_TWIN,FCC_like,0,0.0
OMEGA_TWIN,OMEGA,0,0.0
OMEGA_TWIN,TB,0,0.0
OMEGA_TWIN,OMEGA_TB,0,0.0
OMEGA_TWIN,OTHER,0,0.0
OMEGA_TWIN,TWIN,0,0.0
OMEGA_TWIN,OMEGA_TWIN,0,0.0
