source_frame,target_frame,source,target,source_state,target_state,count
0,5,F0_BCC,F5_BCC,BCC,BCC,325284
0,5,F0_BCC,F5_FCC_like,BCC,FCC_like,333
0,5,F0_BCC,F5_OMEGA,BCC,OMEGA,8618
0,5,F0_BCC,F5_TB,BCC,TB,1320
0,5,F0_BCC,F5_OMEGA_TB,BCC,OMEGA_TB,7693
0,5,F0_BCC,F5_OTHER,BCC,OTHER,20392
0,5,F0_OMEGA,F5_BCC,OMEGA,BCC,9343
0,5,F0_OMEGA,F5_FCC_like,OMEGA,FCC_like,18
0,5,F0_OMEGA,F5_OMEGA,OMEGA,OMEGA,2219
0,5,F0_OMEGA,F5_TB,OMEGA,TB,103
0,5,F0_OMEGA,F5_OMEGA_TB,OMEGA,OMEGA_TB,1628
0,5,F0_OMEGA,F5_OTHER,OMEGA,OTHER,2491
0,5,F0_TB,F5_BCC,TB,BCC,1233
0,5,F0_TB,F5_OMEGA,TB,OMEGA,85
0,5,F0_TB,F5_TB,TB,TB,63
0,5,F0_TB,F5_OMEGA_TB,TB,OMEGA_TB,427
0,5,F0_TB,F5_OTHER,TB,OTHER,386
0,5,F0_OMEGA_TB,F5_BCC,OMEGA_TB,BCC,12112
0,5,F0_OMEGA_TB,F5_FCC_like,OMEGA_TB,FCC_like,25
0,5,F0_OMEGA_TB,F5_OMEGA,OMEGA_TB,OMEGA,2811
0,5,F0_OMEGA_TB,F5_TB,OMEGA_TB,TB,630
0,5,F0_OMEGA_TB,F5_OMEGA_TB,OMEGA_TB,OMEGA_TB,14714
0,5,F0_OMEGA_TB,F5_OTHER,OMEGA_TB,OTHER,4305
0,5,F0_OTHER,F5_BCC,OTHER,BCC,7787
0,5,F0_OTHER,F5_FCC_like,OTHER,FCC_like,14
0,5,F0_OTHER,F5_OMEGA,OTHER,OMEGA,779
0,5,F0_OTHER,F5_TB,OTHER,TB,286
0,5,F0_OTHER,F5_OMEGA_TB,OTHER,OMEGA_TB,1614
0,5,F0_OTHER,F5_OTHER,OTHER,OTHER,5274
5,10,F5_BCC,F10_BCC,BCC,BCC,281303
5,10,F5_BCC,F10_FCC_like,BCC,FCC_like,3806
5,10,F5_BCC,F10_OMEGA,BCC,OMEGA,5680
5,10,F5_BCC,F10_TB,BCC,TB,414
5,10,F5_BCC,F10_OMEGA_TB,BCC,OMEGA_TB,1005
5,10,F5_BCC,F10_OTHER,BCC,OTHER,63559
5,10,F5_FCC_like,F10_BCC,FCC_like,BCC,225
5,10,F5_FCC_like,F10_FCC_like,FCC_like,FCC_like,40
5,10,F5_FCC_like,F10_OTHER,FCC_like,OTHER,121
5,10,F5_OMEGA,F10_BCC,OMEGA,BCC,6660
5,10,F5_OMEGA,F10_FCC_like,OMEGA,FCC_like,153
5,10,F5_OMEGA,F10_OMEGA,OMEGA,OMEGA,1333
5,10,F5_OMEGA,F10_TB,OMEGA,TB,23
5,10,F5_OMEGA,F10_OMEGA_TB,OMEGA,OMEGA_TB,413
5,10,F5_OMEGA,F10_OTHER,OMEGA,OTHER,5931
5,10,F5_TB,F10_BCC,TB,BCC,1116
5,10,F5_TB,F10_FCC_like,TB,FCC_like,42
5,10,F5_TB,F10_OMEGA,TB,OMEGA,73
5,10,F5_TB,F10_TB,TB,TB,59
5,10,F5_TB,F10_OMEGA_TB,TB,OMEGA_TB,74
5,10,F5_TB,F10_OTHER,TB,OTHER,1038
5,10,F5_OMEGA_TB,F10_BCC,OMEGA_TB,BCC,9081
5,10,F5_OMEGA_TB,F10_FCC_like,OMEGA_TB,FCC_like,296
5,10,F5_OMEGA_TB,F10_OMEGA,OMEGA_TB,OMEGA,1797
5,10,F5_OMEGA_TB,F10_TB,OMEGA_TB,TB,266
5,10,F5_OMEGA_TB,F10_OMEGA_TB,OMEGA_TB,OMEGA_TB,3168
5,10,F5_OMEGA_TB,F10_OTHER,OMEGA_TB,OTHER,11470
5,10,F5_OTHER,F10_BCC,OTHER,BCC,12310
5,10,F5_OTHER,F10_FCC_like,OTHER,FCC_like,421
5,10,F5_OTHER,F10_OMEGA,OTHER,OMEGA,904
5,10,F5_OTHER,F10_TB,OTHER,TB,214
5,10,F5_OTHER,F10_OMEGA_TB,OTHER,OMEGA_TB,330
