delta_frame_twin_minus_omega,count,fraction_given_both
-40.0,24,0.00013885353266529355
-39.0,47,0.0002719215014695332
-38.0,65,0.0003760616509685034
-37.0,126,0.0007289810464927911
-36.0,161,0.0009314757816296776
-35.0,257,0.001486889912290852
-34.0,238,0.0013769641989308278
-33.0,252,0.0014579620929855823
-32.0,237,0.001371178635069774
-31.0,171,0.0009893314202402165
-30.0,158,0.000914119090046516
-29.0,165,0.0009546180370738932
-28.0,153,0.0008851912707412465
-27.0,79,0.000457059545023258
-26.0,69,0.00039920390641271896
-25.0,78,0.0004512739811622041
-24.0,57,0.0003297771400800722
-23.0,51,0.00029506375691374883
-22.0,32,0.00018513804355372476
-21.0,34,0.00019670917127583254
-20.0,33,0.00019092360741477865
-19.0,42,0.00024299368216426374
-18.0,36,0.00020828029899794034
-17.0,49,0.000283492629191641
-16.0,57,0.0003297771400800722
-15.0,50,0.00028927819305269494
-14.0,41,0.00023720811830320982
-13.0,51,0.00029506375691374883
-12.0,67,0.0003876327786906112
-11.0,81,0.00046863067274536575
-10.0,102,0.0005901275138274977
-9.0,111,0.0006421975885769827
-8.0,130,0.0007521233019370068
-7.0,145,0.0008389067598528153
-6.0,538,0.0031126333572469972
-5.0,1545,0.008938696165328273
-4.0,2612,0.015111892805072783
-3.0,3780,0.021869431394783735
-2.0,5766,0.03335956122283678
-1.0,9526,0.05511328134039944
0.0,97937,0.5666207678600357
1.0,8147,0.04713498877600611
2.0,4107,0.02376131077734836
3.0,2286,0.01322579898636921
4.0,1345,0.007781583393117493
5.0,884,0.005114438453171646
6.0,582,0.003367198167133369
7.0,341,0.0019728772766193794
8.0,262,0.0015158177315961214
9.0,291,0.0016835990835666844
10.0,230,0.0013306796880423967
11.0,202,0.0011686838999328875
12.0,197,0.0011397560806276179
13.0,183,0.0010587581865728634
14.0,203,0.0011744694637939414
15.0,250,0.0014463909652634745
16.0,290,0.0016778135197056305
17.0,337,0.0019497350211751638
18.0,373,0.0021580153201731043
19.0,425,0.0024588646409479066
20.0,481,0.0027828562171669253
21.0,588,0.003401911550299692
22.0,685,0.003963111244821921
23.0,848,0.004906158154173706
24.0,878,0.005079725070005323
25.0,893,0.0051665085279211315
26.0,992,0.005739279350165467
27.0,1173,0.0067864664090162225
28.0,1246,0.007208812570873157
29.0,1387,0.008024577075281756
30.0,1541,0.008915553909884057
31.0,1742,0.010078452245955891
32.0,2029,0.01173890907407836
33.0,2422,0.014012635671472541
34.0,2954,0.017090555645553215
35.0,2764,0.015991298511952974
36.0,1704,0.009858600819235843
37.0,1066,0.006167411075883456
38.0,723,0.004182962671541969
39.0,460,0.0026613593760847934
40.0,180,0.0010414014949897017
