,BCC,FCC_like,OMEGA,TB,OMEGA_TB,OTHER,TWIN,OMEGA_TWIN
BCC,0.7856669976498132,0.10112647506146236,0.01323566233164671,0.004406325541541116,0.008189784630485527,0.08737475478505112,0.0,0.0
FCC_like,0.22294500166077197,0.6977054072982406,0.0034593734262846143,0.008307269116167347,0.0045335178851992584,0.06304943061333625,0.0,0.0
OMEGA,0.4692553056041386,0.023283007994424676,0.19268037713849184,0.02125927266148001,0.11839521808763712,0.17512681851382775,0.0,0.0
TB,0.20587780278569326,0.028575563551434518,0.039619524805246005,0.243800559933327,0.12910904726496025,0.353017501659339,0.0,0.0
OMEGA_TB,0.22387327054830544,0.0033379381920436457,0.09566652407967106,0.05228501504175929,0.5025466972410585,0.12229055489716205,0.0,0.0
OTHER,0.36618009866583984,0.09937353178492955,0.020342122593333577,0.031556627418952744,0.020832235010914718,0.46171538452602956,0.0,0.0
TWIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMEGA_TWIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
