source_state,target_state,count,row_normalized_probability
BCC,BCC,14855647,0.9560738130205726
BCC,FCC_like,380262,0.024472750347852838
BCC,OMEGA,4002,0.00025755912211082637
BCC,TB,172874,0.011125756040926285
BCC,OMEGA_TB,41936,0.0026989003860168953
BCC,OTHER,83459,0.005371221082520604
BCC,TWIN,0,0.0
BCC,OMEGA_TWIN,0,0.0
FCC_like,BCC,351001,0.4648521152035345
FCC_like,FCC_like,334017,0.44235916411616766
FCC_like,OMEGA,625,0.00082772576716935
FCC_like,TB,40255,0.0533121612118435
FCC_like,OMEGA_TB,5121,0.006782053845878787
FCC_like,OTHER,24062,0.031866779855406244
FCC_like,TWIN,0,0.0
FCC_like,OMEGA_TWIN,0,0.0
OMEGA,BCC,3703,0.28857543640897754
OMEGA,FCC_like,380,0.02961346633416459
OMEGA,OMEGA,1502,0.11705112219451372
OMEGA,TB,2838,0.22116583541147133
OMEGA,OMEGA_TB,1515,0.1180642144638404
OMEGA,OTHER,2894,0.2255299251870324
OMEGA,TWIN,0,0.0
OMEGA,OMEGA_TWIN,0,0.0
TB,BCC,149796,0.2529231299144462
TB,FCC_like,25367,0.04283092363307269
TB,OMEGA,3141,0.005303422995682632
TB,TB,281910,0.47599107822759973
TB,OMEGA_TB,70071,0.11831141443186173
TB,OTHER,61974,0.10464003079733697
TB,TWIN,0,0.0
TB,OMEGA_TWIN,0,0.0
OMEGA_TB,BCC,35557,0.22576733081895184
OMEGA_TB,FCC_like,2448,0.015543449274258067
OMEGA_TB,OMEGA,1649,0.01047024013613217
OMEGA_TB,TB,69239,0.4396294462011251
OMEGA_TB,OMEGA_TB,35410,0.2248339619287084
OMEGA_TB,OTHER,13191,0.08375557164082441
OMEGA_TB,TWIN,0,0.0
OMEGA_TB,OMEGA_TWIN,0,0.0
OTHER,BCC,76064,0.33933813360457543
OTHER,FCC_like,16569,0.07391793142214727
OTHER,OMEGA,3101,0.013834238960714508
OTHER,TB,60813,0.2713000883321288
OTHER,OMEGA_TB,13426,0.059896321279120604
OTHER,OTHER,54181,0.24171328640131337
OTHER,TWIN,0,0.0
OTHER,OMEGA_TWIN,0,0.0
TWIN,BCC,0,0.0
TWIN,FCC_like,0,0.0
TWIN,OMEGA,0,0.0
TWIN,TB,0,0.0
TWIN,OMEGA_TB,0,0.0
TWIN,OTHER,0,0.0
TWIN,TWIN,0,0.0
TWIN,OMEGA_TWIN,0,0.0
OMEGA_TWIN,BCC,0,0.0
OMEGA_TWIN,FCC_like,0,0.0
OMEGA_TWIN,OMEGA,0,0.0
OMEGA_TWIN,TB,0,0.0
OMEGA_TWIN,OMEGA_TB,0,0.0
OMEGA_TWIN,OTHER,0,0.0
OMEGA_TWIN,TWIN,0,0.0
OMEGA_TWIN,OMEGA_TWIN,0,0.0
