,BCC,FCC_like,OMEGA,TB,OMEGA_TB,OTHER,TWIN,OMEGA_TWIN
BCC,0.9560738130205726,0.024472750347852838,0.00025755912211082637,0.011125756040926285,0.0026989003860168953,0.005371221082520604,0.0,0.0
FCC_like,0.4648521152035345,0.44235916411616766,0.00082772576716935,0.0533121612118435,0.006782053845878787,0.031866779855406244,0.0,0.0
OMEGA,0.28857543640897754,0.02961346633416459,0.11705112219451372,0.22116583541147133,0.1180642144638404,0.2255299251870324,0.0,0.0
TB,0.2529231299144462,0.04283092363307269,0.005303422995682632,0.47599107822759973,0.11831141443186173,0.10464003079733697,0.0,0.0
OMEGA_TB,0.22576733081895184,0.015543449274258067,0.01047024013613217,0.4396294462011251,0.2248339619287084,0.08375557164082441,0.0,0.0
OTHER,0.33933813360457543,0.07391793142214727,0.013834238960714508,0.2713000883321288,0.059896321279120604,0.24171328640131337,0.0,0.0
TWIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMEGA_TWIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
