frame,strain,total_atoms,count_BCC,fraction_BCC,count_FCC_like,fraction_FCC_like,count_OMEGA,fraction_OMEGA,count_TB,fraction_TB,count_OMEGA_TB,fraction_OMEGA_TB,count_OTHER,fraction_OTHER,count_TWIN,fraction_TWIN,count_OMEGA_TWIN,fraction_OMEGA_TWIN
0,,432000,432000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,,432000,431997,0.9999930555555555,0,0.0,3,6.944444444444445e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,,432000,431998,0.9999953703703703,0,0.0,2,4.6296296296296296e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,,432000,431999,0.9999976851851852,0,0.0,1,2.3148148148148148e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,,432000,431997,0.9999930555555555,2,4.6296296296296296e-06,1,2.3148148148148148e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,,432000,431992,0.9999814814814815,3,6.944444444444445e-06,3,6.944444444444445e-06,0,0.0,0,0.0,2,4.6296296296296296e-06,0,0.0,0,0.0
6,,432000,431989,0.9999745370370371,7,1.6203703703703704e-05,4,9.259259259259259e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,,432000,431958,0.9999027777777778,40,9.259259259259259e-05,2,4.6296296296296296e-06,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,,432000,431910,0.9997916666666666,80,0.00018518518518518518,4,9.259259259259259e-06,0,0.0,0,0.0,6,1.388888888888889e-05,0,0.0,0,0.0
9,,432000,431771,0.9994699074074074,215,0.0004976851851851852,6,1.388888888888889e-05,0,0.0,0,0.0,8,1.8518518518518518e-05,0,0.0,0,0.0
10,,432000,431466,0.9987638888888889,512,0.0011851851851851852,1,2.3148148148148148e-06,0,0.0,0,0.0,21,4.861111111111111e-05,0,0.0,0,0.0
11,,432000,430924,0.9975092592592593,1028,0.0023796296296296295,4,9.259259259259259e-06,0,0.0,0,0.0,44,0.00010185185185185185,0,0.0,0,0.0
12,,432000,429864,0.9950555555555556,2059,0.004766203703703704,6,1.388888888888889e-05,0,0.0,0,0.0,71,0.00016435185185185186,0,0.0,0,0.0
13,,432000,427956,0.9906388888888888,3897,0.009020833333333334,10,2.3148148148148147e-05,0,0.0,0,0.0,137,0.0003171296296296296,0,0.0,0,0.0
14,,432000,424931,0.9836365740740741,6821,0.015789351851851853,19,4.398148148148148e-05,0,0.0,0,0.0,229,0.0005300925925925926,0,0.0,0,0.0
15,,432000,420353,0.9730393518518519,11253,0.026048611111111113,20,4.6296296296296294e-05,0,0.0,0,0.0,374,0.0008657407407407407,0,0.0,0,0.0
16,,432000,412721,0.9553726851851851,18588,0.043027777777777776,23,5.3240740740740744e-05,0,0.0,0,0.0,668,0.0015462962962962963,0,0.0,0,0.0
17,,432000,402870,0.9325694444444445,28155,0.06517361111111111,28,6.481481481481482e-05,0,0.0,0,0.0,947,0.00219212962962963,0,0.0,0,0.0
18,,432000,389694,0.9020694444444445,40984,0.09487037037037037,35,8.101851851851852e-05,0,0.0,0,0.0,1287,0.002979166666666667,0,0.0,0,0.0
19,,432000,372528,0.8623333333333333,57564,0.13325,53,0.00012268518518518517,0,0.0,0,0.0,1855,0.004293981481481481,0,0.0,0,0.0
20,,432000,353040,0.8172222222222222,76545,0.1771875,62,0.00014351851851851852,0,0.0,0,0.0,2353,0.005446759259259259,0,0.0,0,0.0
21,,432000,329871,0.7635902777777778,98498,0.22800462962962964,87,0.0002013888888888889,0,0.0,0,0.0,3544,0.008203703703703704,0,0.0,0,0.0
22,,432000,305232,0.7065555555555556,122166,0.28279166666666666,85,0.00019675925925925926,0,0.0,0,0.0,4517,0.010456018518518519,0,0.0,0,0.0
23,,432000,279507,0.6470069444444444,145894,0.3377175925925926,95,0.0002199074074074074,0,0.0,0,0.0,6504,0.015055555555555556,0,0.0,0,0.0
24,,432000,324894,0.7520694444444445,73317,0.16971527777777778,498,0.0011527777777777777,16826,0.03894907407407407,1803,0.0041736111111111114,14662,0.03393981481481481,0,0.0,0,0.0
25,,432000,357848,0.8283518518518519,6630,0.015347222222222222,426,0.0009861111111111112,44507,0.10302546296296296,10532,0.02437962962962963,12057,0.02790972222222222,0,0.0,0,0.0
26,,432000,364100,0.8428240740740741,4696,0.01087037037037037,466,0.0010787037037037037,40803,0.09445138888888889,10743,0.024868055555555556,11192,0.025907407407407407,0,0.0,0,0.0
27,,432000,366908,0.8493240740740741,4484,0.01037962962962963,541,0.0012523148148148148,38408,0.08890740740740741,10464,0.02422222222222222,11195,0.02591435185185185,0,0.0,0,0.0
28,,432000,367263,0.8501458333333334,4079,0.00944212962962963,614,0.0014212962962962964,37973,0.08790046296296296,10705,0.024780092592592593,11366,0.026310185185185186,0,0.0,0,0.0
29,,432000,367471,0.8506273148148148,4051,0.009377314814814814,636,0.0014722222222222222,37966,0.08788425925925926,11071,0.025627314814814815,10805,0.025011574074074075,0,0.0,0,0.0
30,,432000,367536,0.8507777777777777,4272,0.009888888888888888,715,0.0016550925925925926,37045,0.08575231481481481,10755,0.024895833333333332,11677,0.02703009259259259,0,0.0,0,0.0
31,,432000,367053,0.8496597222222222,4309,0.009974537037037037,762,0.0017638888888888888,37908,0.08775,10374,0.02401388888888889,11594,0.026837962962962963,0,0.0,0,0.0
32,,432000,366325,0.8479745370370371,4535,0.010497685185185185,753,0.0017430555555555556,38079,0.08814583333333334,10600,0.024537037037037038,11708,0.027101851851851853,0,0.0,0,0.0
33,,432000,366456,0.8482777777777778,4395,0.01017361111111111,864,0.002,37773,0.0874375,10261,0.023752314814814816,12251,0.028358796296296295,0,0.0,0,0.0
34,,432000,366362,0.8480601851851852,4578,0.010597222222222221,891,0.0020625,37073,0.08581712962962963,9957,0.02304861111111111,13139,0.030414351851851852,0,0.0,0,0.0
35,,432000,365885,0.8469560185185185,4512,0.010444444444444444,926,0.0021435185185185186,37886,0.08769907407407407,9984,0.02311111111111111,12807,0.029645833333333333,0,0.0,0,0.0
