delta_frame_twin_minus_omega,count,fraction_given_both
-16.0,150,0.0016469761517853222
-15.0,586,0.006434186832974659
-14.0,843,0.00925600597303351
-13.0,1082,0.011880187974878123
-12.0,1199,0.013164829373270674
-11.0,1421,0.015602354077912951
-10.0,1543,0.016941894681365016
-9.0,1725,0.018940225745531204
-8.0,2008,0.022047520751899512
-7.0,2476,0.027186086345469717
-6.0,3071,0.03371909174755149
-5.0,3931,0.043161755017787344
-4.0,5099,0.05598620931968905
-3.0,6720,0.07378453159998244
-2.0,9333,0.10247485616408275
-1.0,13022,0.14297948965698976
0.0,34986,0.38414071764240854
1.0,815,0.00894857042470025
2.0,314,0.0034476700777372744
3.0,163,0.00178971408494005
4.0,112,0.0012297421933330406
5.0,94,0.0010321050551188018
6.0,62,0.0006807501427379332
7.0,43,0.00047213316351179234
8.0,47,0.0005160525275594009
9.0,26,0.00028547586630945585
10.0,33,0.0003623347533927709
11.0,31,0.0003403750713689666
12.0,33,0.0003623347533927709
13.0,18,0.00019763713821423866
14.0,18,0.00019763713821423866
15.0,24,0.00026351618428565156
16.0,12,0.00013175809214282578
17.0,12,0.00013175809214282578
18.0,4,4.391936404760859e-05
19.0,1,1.0979841011902148e-05
20.0,1,1.0979841011902148e-05
21.0,4,4.391936404760859e-05
22.0,1,1.0979841011902148e-05
23.0,3,3.2939523035706445e-05
24.0,3,3.2939523035706445e-05
25.0,2,2.1959682023804296e-05
27.0,2,2.1959682023804296e-05
31.0,1,1.0979841011902148e-05
34.0,2,2.1959682023804296e-05
