,BCC,FCC_like,OMEGA,TB,OMEGA_TB,OTHER,TWIN,OMEGA_TWIN
BCC,14855647,380262,4002,172874,41936,83459,0,0
FCC_like,351001,334017,625,40255,5121,24062,0,0
OMEGA,3703,380,1502,2838,1515,2894,0,0
TB,149796,25367,3141,281910,70071,61974,0,0
OMEGA_TB,35557,2448,1649,69239,35410,13191,0,0
OTHER,76064,16569,3101,60813,13426,54181,0,0
TWIN,0,0,0,0,0,0,0,0
OMEGA_TWIN,0,0,0,0,0,0,0,0
