source_frame,target_frame,source,target,source_state,target_state,count
0,5,F0_BCC,F5_BCC,BCC,BCC,431992
5,10,F5_BCC,F10_BCC,BCC,BCC,431458
5,10,F5_BCC,F10_FCC_like,BCC,FCC_like,512
5,10,F5_BCC,F10_OTHER,BCC,OTHER,21
10,15,F10_BCC,F15_BCC,BCC,BCC,420029
10,15,F10_BCC,F15_FCC_like,BCC,FCC_like,11049
10,15,F10_BCC,F15_OMEGA,BCC,OMEGA,20
10,15,F10_BCC,F15_OTHER,BCC,OTHER,368
10,15,F10_FCC_like,F15_BCC,FCC_like,BCC,308
10,15,F10_FCC_like,F15_FCC_like,FCC_like,FCC_like,198
10,15,F10_OTHER,F15_BCC,OTHER,BCC,15
15,20,F15_BCC,F20_BCC,BCC,BCC,349650
15,20,F15_BCC,F20_FCC_like,BCC,FCC_like,68424
15,20,F15_BCC,F20_OMEGA,BCC,OMEGA,57
15,20,F15_BCC,F20_OTHER,BCC,OTHER,2222
15,20,F15_FCC_like,F20_BCC,FCC_like,BCC,3233
15,20,F15_FCC_like,F20_FCC_like,FCC_like,FCC_like,7900
15,20,F15_FCC_like,F20_OTHER,FCC_like,OTHER,116
15,20,F15_OMEGA,F20_BCC,OMEGA,BCC,15
15,20,F15_OTHER,F20_BCC,OTHER,BCC,142
15,20,F15_OTHER,F20_FCC_like,OTHER,FCC_like,216
15,20,F15_OTHER,F20_OTHER,OTHER,OTHER,15
20,25,F20_BCC,F25_BCC,BCC,BCC,294515
20,25,F20_BCC,F25_FCC_like,BCC,FCC_like,4207
20,25,F20_BCC,F25_OMEGA,BCC,OMEGA,323
20,25,F20_BCC,F25_TB,BCC,TB,36019
20,25,F20_BCC,F25_OMEGA_TB,BCC,OMEGA_TB,8586
20,25,F20_BCC,F25_OTHER,BCC,OTHER,9390
20,25,F20_FCC_like,F25_BCC,FCC_like,BCC,61401
20,25,F20_FCC_like,F25_FCC_like,FCC_like,FCC_like,2369
20,25,F20_FCC_like,F25_OMEGA,FCC_like,OMEGA,96
20,25,F20_FCC_like,F25_TB,FCC_like,TB,8224
20,25,F20_FCC_like,F25_OMEGA_TB,FCC_like,OMEGA_TB,1878
20,25,F20_FCC_like,F25_OTHER,FCC_like,OTHER,2577
20,25,F20_OMEGA,F25_BCC,OMEGA,BCC,47
20,25,F20_OTHER,F25_BCC,OTHER,BCC,1885
20,25,F20_OTHER,F25_FCC_like,OTHER,FCC_like,52
20,25,F20_OTHER,F25_TB,OTHER,TB,256
20,25,F20_OTHER,F25_OMEGA_TB,OTHER,OMEGA_TB,65
20,25,F20_OTHER,F25_OTHER,OTHER,OTHER,88
25,30,F25_BCC,F30_BCC,BCC,BCC,315295
25,30,F25_BCC,F30_FCC_like,BCC,FCC_like,2598
25,30,F25_BCC,F30_OMEGA,BCC,OMEGA,441
25,30,F25_BCC,F30_TB,BCC,TB,24838
25,30,F25_BCC,F30_OMEGA_TB,BCC,OMEGA_TB,7482
25,30,F25_BCC,F30_OTHER,BCC,OTHER,7194
25,30,F25_FCC_like,F30_BCC,FCC_like,BCC,4394
25,30,F25_FCC_like,F30_FCC_like,FCC_like,FCC_like,268
25,30,F25_FCC_like,F30_OMEGA,FCC_like,OMEGA,33
25,30,F25_FCC_like,F30_TB,FCC_like,TB,1202
25,30,F25_FCC_like,F30_OMEGA_TB,FCC_like,OMEGA_TB,226
25,30,F25_FCC_like,F30_OTHER,FCC_like,OTHER,507
25,30,F25_OMEGA,F30_BCC,OMEGA,BCC,266
25,30,F25_OMEGA,F30_FCC_like,OMEGA,FCC_like,11
25,30,F25_OMEGA,F30_TB,OMEGA,TB,89
25,30,F25_OMEGA,F30_OMEGA_TB,OMEGA,OMEGA_TB,34
25,30,F25_OMEGA,F30_OTHER,OMEGA,OTHER,26
25,30,F25_TB,F30_BCC,TB,BCC,31601
25,30,F25_TB,F30_FCC_like,TB,FCC_like,968
25,30,F25_TB,F30_OMEGA,TB,OMEGA,163
25,30,F25_TB,F30_TB,TB,TB,7293
25,30,F25_TB,F30_OMEGA_TB,TB,OMEGA_TB,1946
25,30,F25_TB,F30_OTHER,TB,OTHER,2536
25,30,F25_OMEGA_TB,F30_BCC,OMEGA_TB,BCC,7745
25,30,F25_OMEGA_TB,F30_FCC_like,OMEGA_TB,FCC_like,162
25,30,F25_OMEGA_TB,F30_OMEGA,OMEGA_TB,OMEGA,25
25,30,F25_OMEGA_TB,F30_TB,OMEGA_TB,TB,1594
25,30,F25_OMEGA_TB,F30_OMEGA_TB,OMEGA_TB,OMEGA_TB,547
25,30,F25_OMEGA_TB,F30_OTHER,OMEGA_TB,OTHER,459
25,30,F25_OTHER,F30_BCC,OTHER,BCC,8235
25,30,F25_OTHER,F30_FCC_like,OTHER,FCC_like,265
25,30,F25_OTHER,F30_OMEGA,OTHER,OMEGA,53
25,30,F25_OTHER,F30_TB,OTHER,TB,2029
25,30,F25_OTHER,F30_OMEGA_TB,OTHER,OMEGA_TB,520
25,30,F25_OTHER,F30_OTHER,OTHER,OTHER,955
30,35,F30_BCC,F35_BCC,BCC,BCC,335774
30,35,F30_BCC,F35_FCC_like,BCC,FCC_like,2261
30,35,F30_BCC,F35_OMEGA,BCC,OMEGA,378
30,35,F30_BCC,F35_TB,BCC,TB,18390
30,35,F30_BCC,F35_OMEGA_TB,BCC,OMEGA_TB,4705
30,35,F30_BCC,F35_OTHER,BCC,OTHER,6028
30,35,F30_FCC_like,F35_BCC,FCC_like,BCC,1832
30,35,F30_FCC_like,F35_FCC_like,FCC_like,FCC_like,510
30,35,F30_FCC_like,F35_OMEGA,FCC_like,OMEGA,32
30,35,F30_FCC_like,F35_TB,FCC_like,TB,1236
30,35,F30_FCC_like,F35_OMEGA_TB,FCC_like,OMEGA_TB,125
30,35,F30_FCC_like,F35_OTHER,FCC_like,OTHER,537
30,35,F30_OMEGA,F35_BCC,OMEGA,BCC,316
30,35,F30_OMEGA,F35_FCC_like,OMEGA,FCC_like,18
30,35,F30_OMEGA,F35_OMEGA,OMEGA,OMEGA,34
30,35,F30_OMEGA,F35_TB,OMEGA,TB,147
30,35,F30_OMEGA,F35_OMEGA_TB,OMEGA,OMEGA_TB,52
30,35,F30_OMEGA,F35_OTHER,OMEGA,OTHER,148
30,35,F30_TB,F35_BCC,TB,BCC,17484
30,35,F30_TB,F35_FCC_like,TB,FCC_like,1237
30,35,F30_TB,F35_OMEGA,TB,OMEGA,211
30,35,F30_TB,F35_TB,TB,TB,11933
30,35,F30_TB,F35_OMEGA_TB,TB,OMEGA_TB,3043
30,35,F30_TB,F35_OTHER,TB,OTHER,3137
30,35,F30_OMEGA_TB,F35_BCC,OMEGA_TB,BCC,4959
30,35,F30_OMEGA_TB,F35_FCC_like,OMEGA_TB,FCC_like,140
30,35,F30_OMEGA_TB,F35_OMEGA,OMEGA_TB,OMEGA,82
30,35,F30_OMEGA_TB,F35_TB,OMEGA_TB,TB,3409
30,35,F30_OMEGA_TB,F35_OMEGA_TB,OMEGA_TB,OMEGA_TB,1451
30,35,F30_OMEGA_TB,F35_OTHER,OMEGA_TB,OTHER,714
30,35,F30_OTHER,F35_BCC,OTHER,BCC,5520
30,35,F30_OTHER,F35_FCC_like,OTHER,FCC_like,346
30,35,F30_OTHER,F35_OMEGA,OTHER,OMEGA,189
30,35,F30_OTHER,F35_TB,OTHER,TB,2771
30,35,F30_OTHER,F35_OMEGA_TB,OTHER,OMEGA_TB,608
30,35,F30_OTHER,F35_OTHER,OTHER,OTHER,2243
35,40,F35_BCC,F40_BCC,BCC,BCC,334403
35,40,F35_BCC,F40_FCC_like,BCC,FCC_like,1801
35,40,F35_BCC,F40_OMEGA,BCC,OMEGA,553
35,40,F35_BCC,F40_TB,BCC,TB,16844
35,40,F35_BCC,F40_OMEGA_TB,BCC,OMEGA_TB,4695
35,40,F35_BCC,F40_OTHER,BCC,OTHER,7589
35,40,F35_FCC_like,F40_BCC,FCC_like,BCC,1898
35,40,F35_FCC_like,F40_FCC_like,FCC_like,FCC_like,510
35,40,F35_FCC_like,F40_OMEGA,FCC_like,OMEGA,35
35,40,F35_FCC_like,F40_TB,FCC_like,TB,1318
35,40,F35_FCC_like,F40_OMEGA_TB,FCC_like,OMEGA_TB,190
35,40,F35_FCC_like,F40_OTHER,FCC_like,OTHER,561
35,40,F35_OMEGA,F40_BCC,OMEGA,BCC,437
35,40,F35_OMEGA,F40_OMEGA,OMEGA,OMEGA,76
35,40,F35_OMEGA,F40_TB,OMEGA,TB,143
35,40,F35_OMEGA,F40_OMEGA_TB,OMEGA,OMEGA_TB,85
35,40,F35_OMEGA,F40_OTHER,OMEGA,OTHER,177
35,40,F35_TB,F40_BCC,TB,BCC,17833
35,40,F35_TB,F40_FCC_like,TB,FCC_like,1133
35,40,F35_TB,F40_OMEGA,TB,OMEGA,239
