frame,strain,N_total,N_omega,N_twin,N_overlap,N_omega_only,N_twin_only,f_overlap_in_omega,f_overlap_in_twin,f_overlap_in_total
35,,432000,19750,44348,14217,5533,30131,0.7198481012658228,0.3205781545954722,0.03290972222222222
36,,432000,19722,44732,14514,5208,30218,0.7359294189230301,0.324465706876509,0.03359722222222222
37,,432000,19541,43734,14163,5378,29571,0.7247837879330639,0.32384414871724515,0.03278472222222222
38,,432000,20113,44186,14633,5480,29553,0.7275394023765723,0.331168243334993,0.033872685185185186
39,,432000,20074,44114,14416,5658,29698,0.7181428713759092,0.32678968128031916,0.03337037037037037
40,,432000,20282,43360,14616,5666,28744,0.7206389902376491,0.3370848708487085,0.03383333333333333
