frame,strain,analysis_variant,mode,center_kind,target_kind,r_lower_A,r_upper_A,r_mid_A,N_total,N_center,N_target,rho_target_1_per_A3,pair_count_shell,pair_count_cumulative,CN_sum_r,P_sum_r,g_r_RDF_like
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.0,0.5,0.25,432000,19750,44348,0.005783583811898988,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,0.5,1.0,0.75,432000,19750,44348,0.005783583811898988,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.0,1.5,1.25,432000,19750,44348,0.005783583811898988,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,1.5,2.0,1.75,432000,19750,44348,0.005783583811898988,0,0,0.0,0.0,0.0
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.0,2.5,2.25,432000,19750,44348,0.005783583811898988,118,118,0.005974683544303797,0.0,0.032343678882788544
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,2.5,3.0,2.75,432000,19750,44348,0.005783583811898988,56941,57059,2.8890632911392404,0.43240506329113926,10.462149988373683
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.0,3.5,3.25,432000,19750,44348,0.005783583811898988,33076,90135,4.56379746835443,0.8372151898734177,4.354582335937138
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,3.5,4.0,3.75,432000,19750,44348,0.005783583811898988,10988,101123,5.120151898734178,0.8436455696202532,1.0870992356538418
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.0,4.5,4.25,432000,19750,44348,0.005783583811898988,15848,116971,5.922582278481013,0.8551898734177216,1.2211020854096855
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,4.5,5.0,4.75,432000,19750,44348,0.005783583811898988,43320,160291,8.116,0.8770632911392405,2.6727380799720555
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.0,5.5,5.25,432000,19750,44348,0.005783583811898988,80431,240722,12.188455696202531,0.9063797468354431,4.062868058003879
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,5.5,6.0,5.75,432000,19750,44348,0.005783583811898988,55793,296515,15.013417721518987,0.924253164556962,2.3497759345590383
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.0,6.5,6.25,432000,19750,44348,0.005783583811898988,28276,324791,16.445113924050634,0.9307341772151899,1.0080506976522978
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,6.5,7.0,6.75,432000,19750,44348,0.005783583811898988,39804,364595,18.460506329113922,0.9357974683544303,1.2166807462783353
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.0,7.5,7.25,432000,19750,44348,0.005783583811898988,104940,469535,23.77392405063291,0.9460759493670886,2.780666756823305
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,7.5,8.0,7.75,432000,19750,44348,0.005783583811898988,87113,556648,28.184708860759493,0.9525063291139241,2.0201561956028335
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.0,8.5,8.25,432000,19750,44348,0.005783583811898988,79272,635920,32.19848101265823,0.9566582278481013,1.6223143254173105
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,8.5,9.0,8.75,432000,19750,44348,0.005783583811898988,62001,697921,35.33777215189873,0.96,1.1280294212493143
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.0,9.5,9.25,432000,19750,44348,0.005783583811898988,81804,779725,39.47974683544304,0.9629367088607594,1.3318071456025091
35,,all_exclude_self,Omega_center__Twin_target,Omega,Twin,9.5,10.0,9.75,432000,19750,44348,0.005783583811898988,145984,925709,46.8713417721519,0.9671392405063292,2.139226939642042
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.0,0.5,0.25,432000,44348,19750,0.0025756692587040005,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,0.5,1.0,0.75,432000,44348,19750,0.0025756692587040005,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.0,1.5,1.25,432000,44348,19750,0.0025756692587040005,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,1.5,2.0,1.75,432000,44348,19750,0.0025756692587040005,0,0,0.0,0.0,0.0
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.0,2.5,2.25,432000,44348,19750,0.0025756692587040005,118,118,0.0026607738793181204,0.0,0.032343678882788544
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,2.5,3.0,2.75,432000,44348,19750,0.0025756692587040005,56941,57059,1.2866194642373951,0.22799224316767386,10.462149988373683
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.0,3.5,3.25,432000,44348,19750,0.0025756692587040005,33076,90135,2.0324479119689727,0.7704518805808604,4.354582335937138
35,,all_exclude_self,Twin_center__Omega_target,Twin,Omega,3.5,4.0,3.75,432000,44348,19750,0.0025756692587040005,10988,101123,2.2802155677820872,0.7982096148642555,1.0870992356538418
