radius_A,strain_mean,strain_std,strain_count,radius_A_mean,radius_A_std,radius_A_count,n_atoms_mean,n_atoms_std,n_atoms_count,n_omega_mean,n_omega_std,n_omega_count,E_omega_cumulative_center_mean_mean,E_omega_cumulative_center_mean_std,E_omega_cumulative_center_mean_count,E_omega_cumulative_center_std_mean,E_omega_cumulative_center_std_std,E_omega_cumulative_center_std_count,E_omega_cumulative_pooled_mean_mean,E_omega_cumulative_pooled_mean_std,E_omega_cumulative_pooled_mean_count,E_omega_shell_center_mean_mean,E_omega_shell_center_mean_std,E_omega_shell_center_mean_count,E_omega_shell_center_std_mean,E_omega_shell_center_std_std,E_omega_shell_center_std_count,E_omega_shell_pooled_mean_mean,E_omega_shell_pooled_mean_std,E_omega_shell_pooled_mean_count,omega_mean_cumulative_neighbor_count_mean,omega_mean_cumulative_neighbor_count_std,omega_mean_cumulative_neighbor_count_count,omega_mean_shell_neighbor_count_mean,omega_mean_shell_neighbor_count_std,omega_mean_shell_neighbor_count_count,E_random_cumulative_center_mean_mean,E_random_cumulative_center_mean_std,E_random_cumulative_center_mean_count,E_random_cumulative_pooled_mean_mean,E_random_cumulative_pooled_mean_std,E_random_cumulative_pooled_mean_count,E_random_shell_center_mean_mean,E_random_shell_center_mean_std,E_random_shell_center_mean_count,E_random_shell_pooled_mean_mean,E_random_shell_pooled_mean_std,E_random_shell_pooled_mean_count,random_mean_cumulative_neighbor_count_mean,random_mean_cumulative_neighbor_count_std,random_mean_cumulative_neighbor_count_count,random_mean_shell_neighbor_count_mean,random_mean_shell_neighbor_count_std,random_mean_shell_neighbor_count_count,DeltaE_cumulative_vs_random_mean,DeltaE_cumulative_vs_random_std,DeltaE_cumulative_vs_random_count,DeltaE_shell_vs_random_mean,DeltaE_shell_vs_random_std,DeltaE_shell_vs_random_count
2.0,,,0,2.0,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.0234927501765386,0.0011718858601191115,6,0.1194452067482367,0.0011518113191193492,6,0.0234927501765386,0.0011718858601191115,6,0.0234927501765386,0.0011718858601191115,6,0.1194452067482367,0.0011518113191193492,6,0.0234927501765386,0.0011718858601191115,6,1.0,0.0,6,1.0,0.0,6,0.00719045251620633,0.0002785858361167551,6,0.00719045251620633,0.0002785858361167551,6,0.00719045251620633,0.0002785858361167551,6,0.00719045251620633,0.0002785858361167551,6,1.0,0.0,6,1.0,0.0,6,0.016302297660332272,0.001047661618763477,6,0.016302297660332272,0.001047661618763477,6
2.5,,,0,2.5,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.02344252143336315,0.0011914257007796922,6,0.11849550861263787,0.0012497015027068434,6,0.027603057597309133,0.0015181744336079986,6,0.23778980894242974,0.013775008230792007,6,0.16443110314698153,0.007586204027184228,6,0.23948139342900676,0.01343732392376593,6,1.0193982885253878,0.0014947423239800755,6,0.019398288525387816,0.0014947423239799736,6,0.007176275353419188,0.00027923747096228387,6,0.008203668390864843,0.0003274988728082886,6,0.19180212187463555,0.00833758078197048,6,0.1933770747920834,0.008272299441443628,6,1.0054692413024566,0.0002568709613798379,6,0.0054692413024565985,0.00025687096137996254,6,0.016266246079943963,0.0010443947977228452,6,0.04598768706779418,0.009296966430855013,6
3.0,,,0,3.0,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.02122372590183974,0.0007299105346940832,6,0.038159096046913484,0.00022674234035736213,6,0.020876507391982668,0.0007234069367719153,6,0.02107836369816658,0.0006745664137596625,6,0.03979208071103702,0.0003095083409013373,6,0.019960711987864706,0.000675753824190721,6,8.50659914550929,0.01619697676350038,6,7.4872008569839,0.015266411362071216,6,0.00807785718887648,0.00019479661844605607,6,0.007913097963158698,0.0001825583264500085,6,0.008502211734977503,0.00019621112557028736,6,0.007873574990319336,0.00017740963958054942,6,8.398711743288592,0.004795360266627322,6,7.393242501986134,0.004925381474927811,6,0.013145868712963263,0.0006772824369403922,6,0.012576151963189076,0.0006561062969017003,6
3.5,,,0,3.5,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.015519253803315473,0.0006585830332791323,6,0.030418171160977083,0.0002236267909713933,6,0.015777696511639613,0.0006688138099373911,6,0.0015050391905638524,0.000704977527052504,6,0.054819766071429604,0.0005896785792903547,6,0.006466643466008867,0.0006622272037597475,6,13.164642396610736,0.01481626151299852,6,4.6580432511014465,0.018308444844330578,6,0.0049654240937943754,0.00015482845032820097,6,0.004790469161983615,0.00015102807230374233,6,0.0004962690561435557,0.00018423839258051956,6,-9.977077572159301e-05,0.00014943737183089774,6,13.7614713395392,0.0037569201534312195,6,5.362759596250609,0.007863186580797626,6,0.010553829709521097,0.00063839367371661,6,0.0010087701344202967,0.0007126359277734248,6
4.0,,,0,4.0,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.019115528391553893,0.0006354692611686268,6,0.027423093198646206,0.00019346245650687268,6,0.019168549798615424,0.0006371470660532402,6,0.04080660859748403,0.0005549710827214875,6,0.08347706455090283,0.00122689345995168,6,0.042622473553438796,0.0007172446692025933,6,15.068220779813828,0.006023078102320134,6,1.9035783832030926,0.019355722456841466,6,0.0058626077232243464,0.00017257489240371594,6,0.005866349534870109,0.00017234210712912173,6,0.016855025775393818,0.0004072926911980524,6,0.01795124848320475,0.000504230169676267,6,14.986644737208993,0.000519354332587251,6,1.22517339766979,0.0038146719123199717,6,0.013252920668329546,0.0006008681967436512,6,0.02395158282209021,0.0003806316362499802,6
4.5,,,0,4.5,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.02091335101498497,0.0006420873324225688,6,0.025617212381259812,0.00019571839486481999,6,0.02104208586584401,0.0006417866556643321,6,0.02915897741970631,0.0008670909879800551,6,0.06801889261285983,0.0006125270642886531,6,0.03028486007863762,0.0007299630688145064,6,18.122610630095497,0.0032479580745729095,6,3.0543898502816695,0.005775695070342383,6,0.006522140014477607,0.00018585695891238445,6,0.006862759360083784,0.00019203273349558075,6,0.009566557232353196,0.00031177890885081494,6,0.012368187510170223,0.0003494779005550035,6,17.699137411891886,0.008224594799432838,6,2.7124926746828932,0.008269495034751478,6,0.014391211000507364,0.0005869151069925673,6,0.01959242018735311,0.0007267915024537216,6
5.0,,,0,5.0,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.020712525391564145,0.0006321869103254165,6,0.022641383017538205,0.00014323804010392735,6,0.020876203701394546,0.0006290180784949235,6,0.020680409164749263,0.000673082512563107,6,0.039478086878913445,0.00021557467037184571,6,0.02053156177924922,0.0006640551267140697,6,26.84267381999257,0.015511681239104649,6,8.72006318989707,0.013943451278370671,6,0.007934194095739337,0.00019389650537712718,6,0.007987218810721418,0.00019432642207741158,6,0.010963800524554626,0.00019409893964795352,6,0.01017818152335047,0.00020408604282742587,6,26.782862537970697,0.0027955927371992916,6,9.08372512607881,0.0069913613490293364,6,0.012778331295824808,0.0005466297166156151,6,0.009716608640194637,0.0005438605551369963,6
5.5,,,0,5.5,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.01852637486242005,0.0005859173068120846,6,0.01992783647230503,0.00010921775001102874,6,0.01854651699773356,0.0005838877342294129,6,0.014774956714598128,0.0005257381637030123,6,0.029502243664459925,0.00019582811220319112,6,0.014501041032718341,0.0005127666164330192,6,42.300913871824555,0.03489324507544364,6,15.458240051831988,0.027746755090099804,6,0.007439481845786847,0.000205204978630763,6,0.0074583570997099995,0.00020615344805781838,6,0.006649079180399636,0.00021977506670798713,6,0.006553668575372593,0.0002263638589088367,6,42.43887042291969,0.015368434850519181,6,15.656007884948993,0.013508292021445259,6,0.011086893016633204,0.0004922815118940956,6,0.008125877534198493,0.0004125594846017618,6
6.0,,,0,6.0,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.01859741028751958,0.000569087104327803,6,0.018065571812940242,0.00011173507938162038,6,0.018364305508671717,0.0005671368596012026,6,0.01866719832408128,0.0006333932016034457,6,0.030005101596262438,0.00025327056147905394,6,0.01781757910590011,0.0005556391908658642,6,56.404276390530725,0.03565043130666418,6,14.10336251870617,0.03210873143141071,6,0.007270651513735346,0.00019059197341451074,6,0.007040280337096103,0.0001903793851665083,6,0.006574974949455629,0.000180830594735945,6,0.00586974711494384,0.00018183422624801473,6,57.59476758072179,0.024338599969477508,6,15.155897157802109,0.037609119743928845,6,0.011326758773784232,0.00046808422027095465,6,0.01209222337462565,0.0005690468208900659,6
6.5,,,0,6.5,0.0,6,432000.0,0.0,6,19913.666666666668,284.082147743688,6,0.01936675776690863,0.0005427045072947654,6,0.017449519033381277,9.117116789672396e-05,6,0.019470268958881737,0.0005398264683018617,6,0.029679200839444714,0.0005237746683292823,6,0.050924421566877286,0.0005414138205533499,6,0.03019615963844276,0.0003843907189591179,6,62.221134162517465,0.008197240058917258,6,5.816857771986736,0.035883848705353875,6,0.0075768549436073555,0.0001884461848334455,6,0.007687888765547033,0.0001864091169581604,6,0.01157743463811751,0.00022270055391649177,6,0.01652426453246628,0.0002772541580085437,6,61.81618913544375,0.01599193466466861,6,4.221421554721954,0.03988407808652394,6,0.011789902823301274,0.00043382518051098516,6,0.018101766201327203,0.0003486276482972328,6
