stage_index,stage_name,state,node_id,count
0,Stage 0,BCC,stage_0_BCC,431735
0,Stage 0,OMEGA,stage_0_OMEGA,232
0,Stage 0,FCC,stage_0_FCC,33
1,Stage 1,FCC,stage_1_FCC,322842
1,Stage 1,OMEGA,stage_1_OMEGA,1097
1,Stage 1,BCC,stage_1_BCC,238
2,Stage 2,BCC,stage_2_BCC,290888
2,Stage 2,OMEGA,stage_2_OMEGA,2579
2,Stage 2,FCC,stage_2_FCC,229
3,Stage 3,FCC,stage_3_FCC,41647
3,Stage 3,OMEGA,stage_3_OMEGA,1473
3,Stage 3,BCC,stage_3_BCC,611
